"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 100"
"2003",322,220,77,20,19,7,9,12,7,6,2,8,46
"2004",256,214,55,23,15,17,10,8,8,0,3,5,61
"2005",351,290,82,27,23,16,20,14,7,8,6,9,57
"2006",412,228,75,31,17,17,9,11,10,4,10,4,23
"2007",448,239,96,29,19,15,13,9,9,7,5,0,24
"2008",444,236,92,27,26,20,15,7,5,6,2,6,18
"2009",438,243,87,29,24,18,19,8,5,7,4,4,22
"2010",428,285,117,27,11,22,14,8,13,3,4,12,35
"2011",395,300,103,25,21,21,23,19,10,11,6,6,28
"2012",398,298,92,44,31,19,19,7,12,10,4,5,34
"2013",265,203,49,22,14,15,14,11,7,7,11,6,27
"2014",367,311,88,29,27,25,24,8,12,14,9,8,47
"2015",361,305,87,34,27,17,10,11,18,9,10,5,60
"2016",382,310,81,33,35,17,16,16,12,9,9,9,45
"2017",387,321,77,35,29,24,32,13,8,11,10,4,60
"2018",413,288,73,34,22,17,15,10,14,10,11,10,50
"2019",200,148,42,13,9,9,10,4,12,10,2,2,21
"2021",388,296,89,39,28,15,17,13,15,8,5,8,41
"2022",356,279,73,18,17,18,22,20,13,7,7,10,57
"2023",372,290,79,27,31,15,18,12,15,11,12,9,45
"2024",386,272,82,31,20,21,15,15,8,12,13,4,33
"2025",404,295,75,20,24,20,12,14,13,13,5,9,65
"Average across years",371.5,266.863636363636,80.5,28.0454545454545,22.2272727272727,17.5,16.1818181818182,11.3636363636364,10.5909090909091,8.31818181818182,6.81818181818182,6.5,40.8636363636364
