"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",473,69,35,11,9,9,2,2,2,1
"2004",422,48,30,7,8,2,1,0,0,0
"2005",614,27,16,5,3,2,1,0,0,0
"2006",625,15,9,2,3,0,0,0,1,0
"2007",663,24,15,3,3,3,0,0,0,0
"2008",660,20,15,3,2,0,0,0,0,0
"2009",660,21,13,0,4,2,2,0,0,0
"2010",664,49,36,5,4,1,1,0,1,1
"2011",661,34,26,2,2,2,0,0,0,2
"2012",675,21,15,2,3,0,0,0,0,1
"2013",441,27,19,2,3,2,0,1,1,0
"2014",639,39,27,5,4,2,1,0,0,0
"2015",604,62,45,10,3,4,0,0,0,0
"2016",661,31,23,3,2,0,2,1,1,0
"2017",682,26,21,4,1,0,0,0,0,0
"2018",691,10,7,2,1,0,0,0,0,0
"2019",338,10,9,0,0,0,1,0,0,0
"2021",677,7,6,1,0,0,0,0,0,0
"2022",615,20,16,2,2,0,0,0,0,0
"2023",637,25,19,1,2,2,0,1,0,0
"2024",647,11,7,1,1,1,1,0,0,0
"2025",677,22,18,2,1,0,0,0,1,0
