"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 99"
"2003",362,180,103,27,9,5,5,0,4,0,1,1,20
"2004",306,164,107,14,8,5,0,7,2,1,1,1,11
"2005",386,255,152,32,13,13,5,4,8,4,4,3,9
"2006",413,227,141,16,7,13,8,5,3,3,0,3,22
"2007",462,225,148,25,8,3,10,3,3,1,2,1,15
"2008",430,250,151,26,19,11,4,4,3,1,2,3,16
"2009",475,206,148,20,7,4,4,3,1,3,1,1,3
"2010",487,226,165,26,12,4,4,1,1,2,0,0,5
"2011",494,201,139,23,5,6,1,3,1,2,0,0,14
"2012",524,172,115,23,11,2,2,1,0,0,1,1,11
"2013",373,95,74,9,2,2,0,2,2,0,0,0,1
"2014",524,154,105,11,7,2,6,3,2,2,1,1,10
"2015",521,145,126,8,1,2,3,0,0,1,0,0,3
"2016",572,120,91,9,6,1,0,2,0,2,1,0,4
"2017",607,101,80,6,6,3,1,2,1,0,0,0,0
"2018",565,136,104,11,4,3,2,1,1,0,1,1,4
"2019",283,65,44,7,5,0,1,0,2,0,0,0,5
"2021",563,121,93,11,4,1,1,0,3,0,0,1,5
"2022",510,125,93,13,1,3,1,0,1,1,1,0,6
"2023",512,150,122,9,6,2,0,1,0,0,0,0,4
"2024",549,109,90,6,2,2,1,0,0,1,0,0,3
"2025",563,136,107,8,2,1,5,1,1,0,1,0,2
"Average across years",476,162,114,15,7,4,3,2,2,1,1,1,8
