"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",538,4,4,0,0,0,0,0,0,0
"2004",462,8,5,0,2,0,0,1,1,0
"2005",630,11,8,0,0,1,0,1,1,0
"2006",628,12,7,2,1,0,0,0,0,2
"2007",672,15,10,2,3,0,0,0,0,0
"2008",663,17,17,0,0,0,0,0,0,0
"2009",669,12,8,1,2,1,0,0,0,0
"2010",700,13,11,0,0,1,0,0,0,1
"2011",679,16,14,0,0,0,1,1,1,0
"2012",687,9,7,1,1,0,0,0,0,0
"2013",454,14,12,2,0,0,0,0,0,0
"2014",660,18,15,0,0,1,1,0,0,1
"2015",648,18,15,0,3,0,0,0,0,0
"2016",676,16,11,1,2,0,1,0,0,1
"2017",694,14,12,2,0,0,0,0,0,0
"2018",688,13,8,0,2,0,0,1,1,2
"2019",342,6,2,0,0,0,0,0,0,4
"2021",677,7,5,2,0,0,0,0,0,0
"2022",621,14,12,2,0,0,0,0,0,0
"2023",648,14,12,1,0,1,0,0,0,0
"2024",645,13,8,1,2,1,1,0,0,0
"2025",684,15,11,1,1,0,1,1,0,0
