"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 99"
"2003",481,61,57,3,1,0,0,0,0,0,0,0,0
"2004",387,83,75,3,2,0,0,0,0,0,0,0,0
"2005",541,100,95,4,1,0,0,0,0,0,0,0,0
"2006",575,65,63,2,0,0,0,0,0,0,0,0,0
"2007",610,77,76,1,0,0,0,0,0,0,0,0,0
"2008",626,54,50,3,0,1,0,0,0,0,0,0,0
"2009",596,85,79,5,0,0,0,0,0,0,0,0,0
"2010",583,130,118,6,1,0,0,1,0,0,0,0,0
"2011",593,102,93,6,1,0,1,0,0,0,0,0,0
"2012",592,104,95,4,1,1,1,0,0,0,0,0,0
"2013",384,84,76,6,1,1,0,0,0,0,0,0,0
"2014",527,151,136,11,2,0,0,1,0,0,0,0,0
"2015",531,135,124,7,1,1,1,0,0,0,0,0,0
"2016",587,105,93,8,2,0,0,0,0,0,0,0,0
"2017",583,125,109,13,2,0,0,0,0,0,0,0,0
"2018",578,123,118,3,0,0,0,0,0,0,0,0,0
"2019",292,56,53,2,1,0,0,0,0,0,0,0,0
"2021",592,92,83,4,2,0,0,0,0,0,0,0,0
"2022",523,112,100,5,1,4,0,0,0,1,0,0,0
"2023",554,108,97,6,3,0,0,0,0,0,0,0,0
"2024",577,81,78,2,0,1,0,0,0,0,0,0,0
"2025",611,88,87,1,0,0,0,0,0,0,0,0,0
"Average across years",542,96,89,5,1,0,0,0,0,0,0,0,0
