"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",458,84,37,11,10,5,1,3,2,16
"2004",391,79,27,8,10,8,2,2,5,19
"2005",554,87,27,7,6,5,5,5,3,30
"2006",572,68,24,11,7,2,3,5,2,15
"2007",619,68,28,6,6,8,2,3,3,14
"2008",600,80,32,7,17,5,4,2,2,12
"2009",601,80,35,6,12,7,4,7,5,7
"2010",607,106,51,8,11,6,6,4,6,17
"2011",612,83,34,13,8,6,6,3,4,12
"2012",594,102,45,10,10,9,5,2,4,19
"2013",375,93,42,12,5,9,4,3,4,16
"2014",553,125,48,15,16,14,7,4,6,16
"2015",564,102,49,13,10,5,7,0,3,15
"2016",581,111,44,6,8,8,7,9,6,29
"2017",615,93,45,13,9,3,1,4,4,16
"2018",607,94,48,8,4,5,4,0,2,23
"2019",296,52,21,4,4,4,3,3,2,13
"2021",557,127,58,8,10,8,5,9,9,24
"2022",528,107,46,9,10,6,6,6,8,20
"2023",568,94,38,9,12,3,3,3,8,20
"2024",549,109,46,9,12,7,6,4,7,22
"2025",583,116,44,8,15,12,6,3,5,23
