"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",535,7,7,0,0,0,0,0,0,0
"2004",450,20,17,2,0,1,0,0,0,0
"2005",620,21,21,0,0,0,0,0,0,0
"2006",629,11,9,2,0,0,0,0,0,0
"2007",678,9,7,2,0,0,0,0,0,0
"2008",669,11,11,0,0,0,0,0,0,0
"2009",667,14,12,1,1,0,0,0,0,0
"2010",684,29,27,1,1,0,0,0,0,0
"2011",675,20,20,0,0,0,0,0,0,0
"2012",672,24,20,3,1,0,0,0,0,0
"2013",456,12,11,1,0,0,0,0,0,0
"2014",656,22,20,0,1,1,0,0,0,0
"2015",649,17,16,1,0,0,0,0,0,0
"2016",660,32,31,1,0,0,0,0,0,0
"2017",691,17,16,1,0,0,0,0,0,0
"2018",668,33,27,5,0,1,0,0,0,0
"2019",332,16,12,2,1,0,1,0,0,0
"2021",664,20,20,0,0,0,0,0,0,0
"2022",610,25,25,0,0,0,0,0,0,0
"2023",644,18,18,0,0,0,0,0,0,0
"2024",630,28,27,1,0,0,0,0,0,0
"2025",664,35,30,4,1,0,0,0,0,0
