"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 100"
"2003",442,100,59,11,2,4,3,2,1,1,2,1,10
"2004",379,91,65,14,2,2,1,1,0,0,1,1,4
"2005",530,111,75,10,5,3,3,2,2,1,0,0,6
"2006",510,130,80,23,4,7,4,0,2,0,0,0,5
"2007",555,132,82,18,6,6,3,2,3,0,1,1,4
"2008",569,111,72,11,8,5,1,2,3,1,0,0,4
"2009",555,126,68,16,6,8,2,2,3,1,3,1,4
"2010",596,117,72,14,4,4,3,2,2,0,4,2,4
"2011",585,110,68,12,4,6,2,1,1,1,1,1,8
"2012",594,102,59,10,6,4,3,3,4,0,1,0,8
"2013",379,89,61,6,3,1,1,1,2,0,0,0,8
"2014",562,116,82,15,4,1,0,3,3,1,1,1,2
"2015",534,132,72,21,6,12,2,2,2,3,0,0,7
"2016",573,119,71,11,4,3,5,1,3,2,0,1,12
"2017",583,125,84,12,5,1,3,3,4,0,0,1,9
"2018",596,105,63,18,7,3,2,2,1,0,0,0,6
"2019",291,57,37,7,4,1,0,0,0,1,2,0,5
"2021",562,122,87,15,3,4,0,1,2,0,0,0,3
"2022",504,131,65,17,7,3,3,4,4,2,2,1,11
"2023",533,129,68,19,4,7,6,3,4,1,3,1,10
"2024",548,110,51,17,9,5,7,5,4,0,0,1,10
"2025",580,119,81,11,4,5,3,1,1,0,1,1,7
"Average across years",525.454545454545,112.909090909091,69.1818181818182,14,4.86363636363636,4.31818181818182,2.59090909090909,1.95454545454545,2.31818181818182,0.681818181818182,1,0.636363636363636,6.68181818181818
