"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 99"
"2003",411,131,56,15,7,6,6,5,3,2,3,3,17
"2004",331,139,72,18,4,7,6,4,5,0,0,2,11
"2005",462,179,84,26,15,7,4,7,3,0,1,1,25
"2006",462,178,98,25,11,8,2,5,2,2,1,2,13
"2007",520,167,86,19,8,11,2,2,1,0,2,1,22
"2008",530,150,80,15,9,5,7,0,1,6,1,1,18
"2009",517,164,99,13,6,4,8,2,3,0,4,2,17
"2010",524,189,98,20,13,11,5,0,2,1,3,4,24
"2011",509,186,104,18,10,4,1,4,6,1,1,0,30
"2012",510,186,87,25,18,4,5,3,7,3,0,0,24
"2013",344,124,57,19,9,7,6,3,0,2,2,2,14
"2014",499,179,88,18,15,5,8,5,3,3,3,1,20
"2015",493,173,88,21,13,9,2,2,5,5,2,1,19
"2016",529,163,63,22,12,14,4,2,3,1,3,3,29
"2017",539,169,81,19,11,6,6,5,3,4,4,2,20
"2018",503,198,81,30,9,9,14,10,3,2,1,3,21
"2019",252,96,44,14,5,4,0,2,2,3,0,1,19
"2021",519,165,77,14,7,7,6,5,5,2,3,8,23
"2022",487,148,67,14,15,3,9,3,3,0,4,0,24
"2023",516,146,73,14,10,8,2,2,3,4,3,2,16
"2024",497,161,68,28,13,3,7,6,4,3,2,1,22
"2025",545,154,81,12,6,6,5,2,7,0,2,1,26
"Average across years",477,161,79,19,10,7,5,4,3,2,2,2,21
