"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 100"
"2003",116,4,4,0,0,0,0,0,0,0,0,0,0
"2004",70,2,2,0,0,0,0,0,0,0,0,0,0
"2005",90,1,1,0,0,0,0,0,0,0,0,0,0
"2006",78,3,3,0,0,0,0,0,0,0,0,0,0
"2007",106,3,3,0,0,0,0,0,0,0,0,0,0
"2008",97,1,1,0,0,0,0,0,0,0,0,0,0
"2009",91,1,1,0,0,0,0,0,0,0,0,0,0
"2010",107,1,1,0,0,0,0,0,0,0,0,0,0
"2011",105,3,3,0,0,0,0,0,0,0,0,0,0
"2012",102,5,5,0,0,0,0,0,0,0,0,0,0
"2013",71,4,4,0,0,0,0,0,0,0,0,0,0
"2014",101,3,3,0,0,0,0,0,0,0,0,0,0
"2015",87,2,1,0,0,0,0,0,0,0,0,0,0
"2016",79,4,3,1,0,0,0,0,0,0,0,0,0
"2017",87,4,3,1,0,0,0,0,0,0,0,0,0
"2018",90,5,4,1,0,0,0,0,0,0,0,0,0
"2019",59,0,0,0,0,0,0,0,0,0,0,0,0
"2021",85,2,2,0,0,0,0,0,0,0,0,0,0
"2022",54,3,3,0,0,0,0,0,0,0,0,0,0
"2023",113,2,2,0,0,0,0,0,0,0,0,0,0
"2024",95,4,3,0,0,0,0,0,0,0,0,0,0
"2025",97,2,2,0,0,0,0,0,0,0,0,0,0
"Average across years",90,2.68181818181818,2.45454545454545,0.136363636363636,0,0,0,0,0,0,0,0,0
