"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",230,113,75,11,10,9,5,1,1,2
"2004",151,103,70,15,9,6,3,0,0,0
"2005",236,121,81,18,14,5,0,1,2,1
"2006",212,126,92,20,6,2,1,3,2,2
"2007",259,130,102,23,0,4,0,0,0,1
"2008",234,119,97,10,7,3,1,1,0,0
"2009",232,125,95,19,7,3,0,0,0,1
"2010",230,145,111,13,8,3,6,1,2,2
"2011",211,162,101,32,12,7,3,5,3,2
"2012",235,144,99,19,14,6,2,1,2,2
"2013",164,117,90,11,7,4,4,1,0,0
"2014",217,150,95,18,17,10,3,3,2,2
"2015",200,138,86,27,14,7,3,1,0,0
"2016",237,142,98,14,12,10,5,2,1,0
"2017",229,157,109,21,13,11,3,0,0,0
"2018",242,124,86,15,11,11,0,0,0,1
"2019",102,79,61,11,5,1,1,0,0,0
"2021",219,138,89,20,13,8,5,1,1,1
"2022",204,117,77,22,6,8,1,1,1,2
"2023",230,131,88,18,12,5,3,3,3,0
"2024",205,160,88,31,20,6,7,3,3,3
"2025",243,136,86,19,10,7,9,2,1,3
