"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 99"
"2003",249,293,192,55,19,5,1,2,0,0,0,0,0
"2004",190,280,180,48,16,10,5,2,2,0,0,0,0
"2005",255,386,271,53,30,8,2,1,1,1,0,0,0
"2006",257,383,254,76,13,9,1,1,0,3,0,0,1
"2007",273,414,278,63,22,12,1,2,0,2,0,0,1
"2008",285,395,265,66,29,6,5,3,0,1,2,0,1
"2009",315,366,250,58,25,8,7,2,0,0,0,0,0
"2010",305,408,267,71,18,12,9,3,1,2,0,1,3
"2011",269,426,313,60,12,6,2,2,3,1,0,0,3
"2012",270,426,279,74,23,13,5,4,2,2,2,2,1
"2013",172,296,193,50,20,2,4,3,1,1,0,0,2
"2014",256,422,260,75,31,17,11,4,1,2,0,1,1
"2015",236,430,257,83,34,13,10,3,2,4,1,1,0
"2016",264,428,249,91,26,15,8,7,3,5,0,0,3
"2017",270,438,284,69,30,9,10,8,3,2,3,0,1
"2018",275,426,274,71,21,23,8,5,2,1,2,1,0
"2019",125,223,158,32,13,5,4,3,2,0,1,0,0
"2021",276,408,274,64,29,11,7,1,0,0,0,0,1
"2022",248,387,258,57,23,10,8,2,2,1,0,0,5
"2023",251,411,274,82,23,8,2,3,2,1,0,0,0
"2024",276,382,269,69,19,3,2,2,0,0,2,0,1
"2025",268,431,304,65,21,5,2,2,1,4,0,1,1
"Average across years",254,384,255,65,23,10,5,3,1,2,1,0,1
