"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",346,196,79,31,44,20,12,1,3,6
"2004",255,215,79,28,46,39,12,6,6,2
"2005",361,280,86,59,59,45,18,8,6,3
"2006",395,245,105,32,49,31,14,7,5,4
"2007",430,257,105,46,52,38,8,5,6,0
"2008",422,258,106,56,54,23,10,7,5,1
"2009",404,277,127,49,45,29,15,9,5,2
"2010",389,324,102,51,66,51,30,10,11,5
"2011",374,321,87,55,54,46,42,26,18,8
"2012",402,294,80,40,47,44,39,22,26,11
"2013",251,217,45,24,34,46,24,22,23,12
"2014",347,331,75,45,76,40,38,28,32,18
"2015",355,311,80,43,67,52,26,20,21,13
"2016",383,309,75,31,70,51,37,23,22,16
"2017",392,316,83,38,45,64,43,19,19,19
"2018",409,292,84,34,58,54,27,17,14,12
"2019",193,155,55,22,26,16,15,9,8,9
"2021",392,292,80,43,49,48,21,23,22,18
"2022",361,274,79,37,49,49,34,14,7,10
"2023",381,281,72,46,61,36,25,16,17,17
"2024",369,289,85,57,63,34,21,11,10,12
"2025",385,314,75,52,60,54,29,18,22,17
