"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",195,347,41,18,31,31,45,49,63,97
"2004",159,311,38,16,41,33,35,28,42,96
"2005",213,428,62,22,38,46,43,63,60,124
"2006",244,396,61,30,33,34,49,34,55,118
"2007",264,423,56,20,48,47,42,51,64,128
"2008",280,400,59,41,50,50,44,41,56,85
"2009",285,396,70,30,48,62,45,39,40,86
"2010",273,440,98,50,43,50,33,37,46,103
"2011",269,426,72,39,53,46,37,38,52,113
"2012",265,431,62,42,56,53,39,34,46,120
"2013",163,305,33,18,30,37,32,37,51,88
"2014",246,432,39,30,53,45,47,46,67,136
"2015",248,418,51,20,30,46,41,33,50,168
"2016",266,426,36,23,38,29,41,38,60,185
"2017",279,429,49,14,29,46,36,58,70,167
"2018",269,432,42,26,42,44,44,43,52,161
"2019",138,210,25,11,21,16,22,20,28,80
"2021",261,423,56,40,37,48,35,36,57,133
"2022",244,391,48,30,31,36,30,51,75,128
"2023",252,410,53,28,37,30,47,55,68,124
"2024",258,400,50,34,42,44,37,46,58,122
"2025",274,425,57,31,39,53,47,36,58,122
