"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",246,296,91,47,45,35,26,18,17,26
"2004",254,216,56,31,39,22,19,14,17,27
"2005",324,317,79,47,56,38,37,19,22,30
"2006",307,333,83,60,58,40,32,17,29,27
"2007",317,370,104,48,60,54,24,26,39,37
"2008",318,362,107,55,66,40,37,16,27,25
"2009",339,342,97,59,51,44,25,19,29,32
"2010",354,359,113,61,65,42,23,20,20,29
"2011",347,348,94,48,68,53,21,17,24,35
"2012",347,349,88,59,52,52,26,23,37,28
"2013",220,248,72,35,46,24,12,14,27,29
"2014",332,346,93,58,60,37,22,30,36,32
"2015",332,334,82,57,56,35,19,30,34,41
"2016",337,355,91,64,54,35,20,26,33,50
"2017",344,364,92,51,66,39,28,34,36,41
"2018",334,367,73,55,83,38,33,26,32,46
"2019",174,174,41,23,36,24,17,7,11,19
"2021",338,346,75,54,64,50,23,27,37,35
"2022",323,312,62,53,55,42,22,23,28,40
"2023",334,328,73,42,58,51,23,21,34,41
"2024",324,334,71,49,64,41,21,27,34,40
"2025",348,351,79,54,56,51,30,16,30,45
