"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 100"
"2003",533,9,8,1,0,0,0,0,0,0,0,0,0
"2004",467,3,2,1,0,0,0,0,0,0,0,0,0
"2005",635,6,4,1,1,0,0,0,0,0,0,0,0
"2006",637,3,3,0,0,0,0,0,0,0,0,0,0
"2007",679,8,7,1,0,0,0,0,0,0,0,0,0
"2008",674,6,5,1,0,0,0,0,0,0,0,0,0
"2009",676,5,4,1,0,0,0,0,0,0,0,0,0
"2010",705,8,5,3,0,0,0,0,0,0,0,0,0
"2011",681,14,10,1,3,0,0,0,0,0,0,0,0
"2012",688,8,6,2,0,0,0,0,0,0,0,0,0
"2013",462,6,5,0,0,1,0,0,0,0,0,0,0
"2014",673,5,5,0,0,0,0,0,0,0,0,0,0
"2015",662,4,3,0,0,0,0,0,0,0,0,0,1
"2016",689,3,3,0,0,0,0,0,0,0,0,0,0
"2017",700,8,6,0,1,1,0,0,0,0,0,0,0
"2018",693,8,7,0,1,0,0,0,0,0,0,0,0
"2019",341,7,3,0,1,2,0,1,0,0,0,0,0
"2021",679,5,5,0,0,0,0,0,0,0,0,0,0
"2022",631,4,2,1,1,0,0,0,0,0,0,0,0
"2023",657,5,4,1,0,0,0,0,0,0,0,0,0
"2024",649,9,6,0,1,2,0,0,0,0,0,0,0
"2025",692,7,5,0,1,0,0,0,0,0,0,0,0
"Average across years",631.954545454545,6.40909090909091,4.90909090909091,0.636363636363636,0.454545454545455,0.272727272727273,0,0.0454545454545455,0,0,0,0,0.0454545454545455
