"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",540,2,1,0,0,1,0,0,0,0
"2004",465,5,2,2,0,0,0,0,0,1
"2005",628,13,8,1,0,0,1,0,0,3
"2006",634,6,3,0,2,0,0,0,1,0
"2007",674,13,7,1,0,2,0,1,1,2
"2008",670,10,5,0,1,2,0,1,0,1
"2009",666,15,9,0,2,1,0,1,1,2
"2010",700,13,8,1,2,0,1,0,0,1
"2011",689,6,4,0,0,1,0,0,0,1
"2012",689,7,5,0,0,0,1,0,0,1
"2013",459,9,3,1,0,1,1,0,0,3
"2014",669,9,6,2,0,0,0,0,0,1
"2015",657,9,5,0,2,0,1,0,0,1
"2016",674,18,10,3,3,0,0,1,1,1
"2017",697,11,4,2,0,0,1,0,0,4
"2018",690,11,6,2,0,0,1,0,0,2
"2019",342,6,3,1,0,0,0,0,0,2
"2021",674,10,5,0,3,1,0,0,0,1
"2022",623,12,4,2,0,1,2,1,2,1
"2023",653,9,2,2,1,1,1,0,1,1
"2024",650,8,4,2,0,0,1,0,1,0
"2025",687,12,4,4,1,2,0,0,1,0
