"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",523,19,13,0,0,4,0,0,0,2
"2004",458,12,9,1,1,0,1,0,0,0
"2005",621,20,15,2,1,1,1,0,0,0
"2006",614,26,22,0,2,1,0,1,1,0
"2007",660,27,23,2,1,1,0,0,0,0
"2008",663,17,17,0,0,0,0,0,0,0
"2009",650,31,24,3,2,2,0,0,0,0
"2010",685,28,20,3,1,3,0,0,0,1
"2011",664,31,22,2,3,1,0,1,1,2
"2012",664,32,29,1,0,0,0,0,0,2
"2013",450,18,10,1,2,1,1,0,1,2
"2014",649,29,22,1,0,3,0,1,1,1
"2015",645,21,19,0,1,0,0,0,0,1
"2016",652,40,24,4,0,0,3,0,3,6
"2017",678,30,23,1,4,0,0,0,0,2
"2018",667,34,21,5,1,2,2,1,0,2
"2019",325,23,16,3,1,2,0,0,1,0
"2021",666,18,14,3,1,0,0,0,0,0
"2022",617,18,15,0,1,1,0,1,1,0
"2023",632,30,27,1,1,0,0,0,0,1
"2024",623,35,23,1,3,5,0,0,1,2
"2025",679,20,16,0,0,3,0,0,0,1
