"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",311,32,16,1,5,3,0,1,3,4
"2004",232,22,12,3,1,0,1,1,1,4
"2005",315,42,20,7,6,2,1,1,1,5
"2006",308,30,21,4,2,0,1,0,0,2
"2007",344,45,29,2,3,1,3,1,1,5
"2008",322,31,17,2,4,3,0,3,4,1
"2009",322,35,26,4,1,1,1,1,0,1
"2010",331,44,20,1,5,5,6,4,4,2
"2011",327,46,26,3,4,3,3,3,2,4
"2012",339,40,27,1,2,1,0,2,3,6
"2013",261,20,14,1,2,0,0,0,1,2
"2014",317,50,22,5,7,5,0,0,2,9
"2015",281,57,32,5,6,5,1,4,4,3
"2016",301,78,41,6,5,3,2,5,3,14
"2017",318,68,36,5,6,6,0,4,2,10
"2018",306,60,32,7,4,5,2,1,3,7
"2019",150,31,17,3,1,1,2,1,1,5
"2021",325,32,16,6,3,2,2,1,1,2
"2022",286,35,24,1,3,1,1,1,2,3
"2023",299,62,37,7,8,2,2,2,4,2
"2024",320,45,25,5,4,0,4,1,0,6
"2025",344,35,19,6,3,0,0,1,2,5
