Year,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
2003,473,69,44,8,3,6,0,1,0,1,0,0,1
2004,422,48,37,8,1,1,1,0,0,0,0,0,0
2005,614,27,20,3,1,2,0,0,0,0,0,0,0
2006,625,15,11,3,0,0,0,0,0,0,0,0,1
2007,663,24,18,3,2,1,0,0,0,0,0,0,0
2008,660,20,18,2,0,0,0,0,0,0,0,0,0
2009,660,21,13,4,1,1,2,0,0,0,0,0,0
2010,664,49,40,4,1,0,0,0,0,0,0,0,2
2011,661,34,28,2,2,0,0,0,0,0,0,0,2
2012,675,21,17,3,0,0,0,0,0,0,0,0,1
2013,441,27,21,3,1,1,0,0,0,0,1,0,0
2014,639,39,31,4,2,0,1,0,0,0,0,0,0
2015,604,62,52,3,2,2,0,0,0,0,0,0,0
2016,661,31,25,1,0,1,1,0,0,0,0,0,0
2017,682,26,25,1,0,0,0,0,0,0,0,0,0
2018,691,10,9,1,0,0,0,0,0,0,0,0,0
2019,338,10,9,0,0,0,0,1,0,0,0,0,0
2021,677,7,7,0,0,0,0,0,0,0,0,0,0
2022,615,20,18,2,0,0,0,0,0,0,0,0,0
2023,637,25,20,2,1,1,0,0,1,0,0,0,0
2024,647,11,8,1,1,0,1,0,0,0,0,0,0
2025,677,22,20,1,0,0,0,0,0,0,0,0,1
Average across years,610,28,22,3,1,1,0,0,0,0,0,0,0
