Year,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
2003,349,193,81,24,20,14,10,7,5,5,1,1,12
2004,299,171,78,29,22,9,5,3,2,1,1,2,7
2005,424,217,107,30,20,14,12,3,6,2,2,1,14
2006,452,188,99,31,15,4,6,6,3,2,0,4,7
2007,460,227,113,40,19,10,9,6,6,4,1,0,6
2008,451,229,116,22,19,18,9,3,5,1,5,3,14
2009,446,235,104,25,21,6,13,5,2,8,5,3,26
2010,449,264,97,31,25,18,12,11,2,4,5,4,34
2011,429,266,118,33,15,15,9,7,7,4,6,3,32
2012,448,248,114,29,24,16,9,9,5,2,3,4,22
2013,284,184,67,36,19,12,9,8,3,4,2,3,11
2014,405,273,113,31,16,20,13,15,7,8,2,11,30
2015,388,278,109,37,25,20,12,16,7,7,7,3,25
2016,407,285,137,45,16,20,11,10,3,4,1,4,15
2017,441,267,132,42,26,12,8,2,4,7,4,1,15
2018,469,232,124,48,12,13,4,5,6,4,3,1,5
2019,225,123,75,8,13,4,3,2,1,2,1,0,7
2021,480,204,120,30,9,9,2,6,2,3,2,3,10
2022,429,206,86,23,16,7,11,5,5,2,4,2,34
2023,420,242,103,29,12,5,15,4,8,4,4,4,39
2024,435,223,90,22,15,13,12,5,4,4,8,3,33
2025,478,221,82,33,11,9,10,9,2,3,2,1,42
Average across years,412,226,103,31,18,12,9,7,4,4,3,3,20
