Year,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
2003,120,0,0,0,0,0,0,0,0,0,0,0,0
2004,72,0,0,0,0,0,0,0,0,0,0,0,0
2005,91,0,0,0,0,0,0,0,0,0,0,0,0
2006,81,0,0,0,0,0,0,0,0,0,0,0,0
2007,109,0,0,0,0,0,0,0,0,0,0,0,0
2008,98,0,0,0,0,0,0,0,0,0,0,0,0
2009,92,0,0,0,0,0,0,0,0,0,0,0,0
2010,108,0,0,0,0,0,0,0,0,0,0,0,0
2011,108,0,0,0,0,0,0,0,0,0,0,0,0
2012,107,0,0,0,0,0,0,0,0,0,0,0,0
2013,75,0,0,0,0,0,0,0,0,0,0,0,0
2014,104,0,0,0,0,0,0,0,0,0,0,0,0
2015,89,0,0,0,0,0,0,0,0,0,0,0,0
2016,83,0,0,0,0,0,0,0,0,0,0,0,0
2017,90,1,1,0,0,0,0,0,0,0,0,0,0
2018,95,0,0,0,0,0,0,0,0,0,0,0,0
2019,59,0,0,0,0,0,0,0,0,0,0,0,0
2021,87,0,0,0,0,0,0,0,0,0,0,0,0
2022,57,0,0,0,0,0,0,0,0,0,0,0,0
2023,115,0,0,0,0,0,0,0,0,0,0,0,0
2024,99,0,0,0,0,0,0,0,0,0,0,0,0
2025,99,0,0,0,0,0,0,0,0,0,0,0,0
Average across years,93,0,0,0,0,0,0,0,0,0,0,0,0
