Year,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
2003,230,113,85,8,5,5,3,1,1,0,0,0,2
2004,151,103,84,9,6,0,3,0,0,0,0,0,0
2005,236,121,96,14,3,2,0,0,0,0,1,0,2
2006,212,126,108,6,1,0,1,0,1,1,0,0,2
2007,259,130,120,0,3,1,0,0,0,0,0,0,1
2008,234,119,107,7,1,2,1,0,1,0,0,0,0
2009,232,125,113,7,2,1,0,0,0,0,0,0,1
2010,230,145,122,8,3,1,2,1,0,1,1,0,2
2011,211,162,127,12,6,1,3,0,2,1,1,0,2
2012,235,144,115,11,5,1,1,1,0,1,0,0,3
2013,164,117,99,7,3,1,2,1,1,0,0,0,0
2014,217,150,111,17,9,1,1,3,2,0,0,2,2
2015,200,138,108,12,4,3,3,0,0,0,0,0,0
2016,237,142,108,12,9,1,2,2,1,0,0,0,0
2017,229,157,128,13,7,4,1,2,0,0,0,0,0
2018,242,124,97,10,8,2,0,0,0,0,0,0,1
2019,102,79,72,5,1,1,0,0,0,0,0,0,0
2021,219,138,104,13,7,3,3,0,1,0,0,1,1
2022,204,117,97,6,7,1,1,0,0,1,0,0,2
2023,230,131,103,12,3,2,3,2,0,1,0,1,1
2024,205,160,114,17,5,2,4,2,1,0,2,0,4
2025,243,136,103,10,5,4,5,3,0,1,0,0,3
Average across years,215,131,106,10,5,2,2,1,0,0,0,0,1
