Year,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
2003,517,25,14,0,1,1,0,0,0,0,0,1,7
2004,455,15,7,3,0,0,0,1,0,0,0,1,3
2005,624,17,14,1,0,0,0,0,1,0,0,0,1
2006,624,16,11,0,0,1,0,0,0,0,0,0,4
2007,678,9,6,0,0,0,0,0,0,0,0,0,3
2008,667,13,7,1,1,0,0,0,0,0,0,1,2
2009,667,14,7,0,1,0,2,0,0,0,0,0,2
2010,702,11,9,1,1,0,0,0,0,0,0,0,0
2011,681,14,7,0,1,1,0,0,0,0,1,0,4
2012,687,9,6,0,0,0,0,0,0,0,1,0,2
2013,458,10,5,0,1,0,0,0,0,0,0,0,4
2014,664,14,7,0,0,1,0,0,0,1,0,0,5
2015,651,15,8,1,2,0,0,0,1,1,0,0,2
2016,675,17,9,2,0,0,0,0,0,0,1,0,5
2017,692,16,8,3,1,0,0,0,1,1,0,0,2
2018,691,10,4,2,1,0,0,0,0,0,0,0,2
2019,343,5,2,0,0,1,0,0,0,0,0,1,1
2021,676,8,4,0,0,0,1,0,1,0,0,0,2
2022,622,13,10,1,0,0,0,0,0,0,0,1,1
2023,656,6,2,2,0,0,0,0,0,0,0,0,2
2024,650,8,5,1,0,1,0,0,0,1,0,0,0
2025,689,10,8,1,0,0,1,0,0,0,0,0,0
Average across years,626,12,7,1,0,0,0,0,0,0,0,0,2
