Year,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
2003,537,5,4,0,0,0,0,0,0,0,0,0,1
2004,470,0,0,0,0,0,0,0,0,0,0,0,0
2005,639,2,0,1,0,0,0,0,0,0,0,0,0
2006,640,0,0,0,0,0,0,0,0,0,0,0,0
2007,687,0,0,0,0,0,0,0,0,0,0,0,0
2008,680,0,0,0,0,0,0,0,0,0,0,0,0
2009,681,0,0,0,0,0,0,0,0,0,0,0,0
2010,712,1,1,0,0,0,0,0,0,0,0,0,0
2011,690,5,3,0,1,0,0,0,0,0,0,0,1
2012,693,3,2,0,1,0,0,0,0,0,0,0,0
2013,464,4,4,0,0,0,0,0,0,0,0,0,0
2014,677,1,1,0,0,0,0,0,0,0,0,0,0
2015,664,2,1,0,0,0,0,0,0,0,0,0,0
2016,686,6,3,2,0,0,0,1,0,0,0,0,0
2017,703,5,3,2,0,0,0,0,0,0,0,0,0
2018,697,4,1,0,0,0,0,0,0,0,0,0,3
2019,348,0,0,0,0,0,0,0,0,0,0,0,0
2021,684,0,0,0,0,0,0,0,0,0,0,0,0
2022,632,3,3,0,0,0,0,0,0,0,0,0,0
2023,661,1,0,0,0,0,0,0,1,0,0,0,0
2024,655,3,1,0,1,0,0,0,0,0,0,0,1
2025,697,2,1,0,0,0,1,0,0,0,0,0,0
Average across years,636,2,1,0,0,0,0,0,0,0,0,0,0
