Species,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024,2025
arrowtooth flounder,66,26,34,1,1,0,7,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0
aurora rockfish,55,0,14,33,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0
big skate,14,25,17,0,4,3,2,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0
blackgill rockfish,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0
blue rockfish,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bocaccio,5,13,45,1,0,1,6,3,0,0,99,0,24,0,0,0,0,0,0,0,0,0
brown rockfish,8,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter sole,1,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabezon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calico rockfish,1,37,143,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California scorpionfish,123,24,136,46,20,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
California skate,35,25,68,0,8,4,2,4,11,0,0,1,0,0,0,0,0,0,0,0,0,0
canary rockfish,1,67,92,0,0,7,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
chilipepper,175,519,398,141,24,0,3,0,0,27,25,11,21,0,0,0,0,0,0,0,0,0
Chinook salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copper rockfish,4,5,48,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
cowcod,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curlfin sole,252,110,115,8,19,3,16,0,0,21,45,65,0,0,0,0,0,0,0,0,0,0
deepsea sole,0,0,0,0,0,5,0,5,12,0,0,8,47,0,0,11,0,0,0,0,0,18
Dover sole,491,518,313,99,57,19,3,4,0,28,14,50,64,0,0,10,1,0,0,0,0,11
English sole,426,664,492,190,124,25,48,25,16,44,26,20,0,0,0,0,0,0,0,0,0,0
fangtooth,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
