"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003140",6,0,0,0,0,0
"200303003142",6,0,0,0,0,0
"200303006144",2,0,0,0,0,0
"200303006150",1,0,0,0,0,0
"200303006157",2,0,0,0,0,0
"200303006159",13,0,0,0,0,0
"200303006162",20,0,0,0,0,0
"200303006163",4,0,0,0,0,0
"200303008162",1,0,0,0,0,0
"200303008167",53,0,0,0,0,0
"200303008175",24,0,0,0,0,0
"200303008176",3,0,0,0,0,0
"200303010154",37,0,0,0,0,0
"200303010161",4,0,0,0,0,0
"200303010162",2,0,0,0,0,0
"200303010163",19,0,0,0,0,0
"200403008174",3,0,0,0,0,0
"200403008175",1,0,0,0,0,0
"200403008186",3,0,0,0,0,0
"200403008196",4,0,0,0,0,0
"200403008200",17,0,0,0,0,0
"200403008202",23,0,0,0,0,0
"200403008203",14,0,0,0,0,0
"200403010173",2,0,0,0,0,0
"200403010182",6,0,0,0,0,0
"200403010184",6,0,0,0,0,0
"200403010189",2,0,0,0,0,0
"200403015150",1,0,0,0,0,0
"200403015151",2,0,0,0,0,0
"200403015166",2,0,0,0,0,0
"200403015169",78,0,0,0,0,0
"200403015173",5,0,0,0,0,0
"200403015174",11,0,0,0,0,0
"200403015175",6,0,0,0,0,0
"200503008166",3,3,0,0,0,0
"200503008195",38,16,0,0,0,0
"200503008196",13,13,0,0,0,0
"200503008198",5,5,0,0,0,0
"200503008199",80,14,0,0,0,0
"200503008206",85,15,0,0,0,0
"200503008207",40,15,0,0,0,0
"200503010152",1,1,0,0,0,0
"200503010158",18,15,0,0,0,0
"200503017168",1,1,0,0,0,0
"200503017176",15,15,0,0,0,0
"200503018159",44,15,0,0,0,0
"200503018167",7,7,0,0,0,0
"200503018171",8,8,0,0,0,0
"200503018175",4,4,0,0,0,0
"200603008172",6,6,0,0,0,0
"200603008181",9,9,0,0,0,0
"200603008183",10,10,0,0,0,0
"200603010163",1,0,0,0,0,0
"200603010166",3,3,0,0,0,0
"200603017167",1,1,0,0,0,0
"200603017169",2,2,0,0,0,0
"200603017180",4,4,0,0,0,0
"200603018149",2,2,0,0,0,0
"200603018151",40,15,0,0,0,0
"200603018152",4,4,0,0,0,0
"200603018153",1,1,0,0,0,0
"200603018158",4,4,0,0,0,0
"200603018167",6,6,0,0,0,0
"200703008175",1,1,0,0,0,1
"200703008176",1,1,0,0,0,0
"200703008179",2,2,0,0,0,0
"200703008180",21,15,0,0,0,0
"200703008181",2,2,0,0,0,0
"200703008202",6,6,0,0,0,0
"200703008203",85,15,0,0,0,0
"200703010163",2,2,0,0,0,0
"200703010165",1,1,0,0,0,0
"200703010179",10,10,0,0,0,0
"200703017162",1,1,0,0,0,0
"200703017182",5,5,0,0,0,0
"200703018173",19,14,0,0,0,0
"200703018179",3,3,0,0,0,0
"200703018180",62,15,0,0,0,0
"200803008159",4,4,0,0,0,0
"200803008164",2,2,0,0,0,0
"200803008168",11,11,0,0,0,0
"200803008179",4,4,0,0,0,0
"200803010162",1,1,0,0,0,0
"200803010186",5,5,0,0,0,0
"200803010187",1,1,0,0,0,0
"200803010189",1,1,0,0,0,0
"200803017155",1,1,0,0,0,0
"200803017178",1,1,0,0,0,0
"200803018160",14,14,0,0,0,0
"200803018161",3,3,0,0,0,0
"200803018181",7,7,0,0,0,0
"200903008162",5,5,0,0,0,0
"200903008165",17,17,0,0,0,0
"200903008166",1,1,0,0,0,0
"200903008170",13,13,0,0,0,0
"200903017167",20,15,0,0,0,0
"200903018162",49,14,0,0,0,0
"200903018173",20,14,0,0,0,0
"200903018175",110,15,0,0,0,0
"200903018176",6,6,0,0,0,0
"200903018177",23,15,0,0,0,0
"200903018178",83,15,0,0,0,0
"201003008178",7,7,0,0,0,0
"201003008181",9,9,0,0,0,0
"201003017177",1,1,0,0,0,0
"201003017181",1,1,0,0,0,0
"201003018190",1,1,0,0,0,0
"201003018191",4,4,0,0,0,0
