"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",8583,1908,0,0,0,0
"2004",8998,1019,0,0,0,0
"2005",8864,1337,0,0,0,1
"2006",5604,1005,0,0,0,0
"2007",4072,954,0,0,0,0
"2008",3526,845,0,0,0,0
"2009",3402,898,0,0,0,0
"2010",2492,1050,0,0,0,0
"2011",4470,1070,0,0,0,0
"2012",4661,1087,0,0,0,0
"2013",3551,752,0,0,0,0
"2014",5242,1138,0,0,0,0
"2015",5105,1091,0,0,0,0
"2016",5223,622,0,0,0,0
"2017",3549,623,0,0,0,0
"2018",2926,562,0,0,0,0
"2019",1413,282,0,0,0,0
"2021",2662,579,0,0,0,0
"2022",2481,529,0,0,0,0
"2023",2580,552,0,0,0,0
"2024",2385,525,174,0,0,0
