"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",2029,0,0,0,0,0
"2004",0,0,0,0,0,0
"2005",1206,0,0,0,0,0
"2006",1743,0,0,0,0,0
"2007",1689,270,0,0,0,0
"2008",899,0,0,0,0,0
"2009",670,0,0,0,0,0
"2010",759,304,0,0,0,0
"2011",562,0,0,0,0,0
"2012",338,0,0,0,0,0
"2013",268,0,0,0,0,0
"2014",488,0,0,0,0,0
"2015",445,303,0,0,0,0
"2016",348,234,0,0,0,0
"2017",247,64,0,0,0,0
"2018",284,0,0,0,0,0
"2019",120,111,0,0,0,0
"2021",189,155,0,0,0,0
"2022",196,0,0,0,0,0
"2023",199,0,0,0,0,0
"2024",170,141,0,0,0,0
