"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",64,5,2,0,0,0,1,1,1,1
"2004",57,5,3,0,1,1,0,0,0,0
"2005",71,3,2,0,0,0,0,0,0,1
"2006",49,4,0,0,0,2,0,1,1,1
"2007",61,12,3,1,1,3,0,0,1,3
"2008",54,11,4,1,2,3,1,0,0,0
"2009",46,6,4,1,0,0,0,0,1,0
"2010",50,7,2,3,0,0,1,0,0,1
"2011",28,10,9,0,1,0,0,0,0,0
"2012",51,6,3,2,0,1,0,0,0,0
"2013",21,5,4,1,0,0,0,0,0,0
"2014",28,4,3,1,0,0,0,0,0,0
"2015",33,0,0,0,0,0,0,0,0,0
"2016",31,0,0,0,0,0,0,0,0,0
"2017",30,0,0,0,0,0,0,0,0,0
"2018",25,3,1,0,2,0,0,0,0,0
"2019",16,4,2,1,0,0,0,0,1,0
"2021",29,2,2,0,0,0,0,0,0,0
"2022",22,3,1,0,0,1,0,0,0,1
"2023",22,2,0,1,1,0,0,0,0,0
"2024",18,5,3,1,1,0,0,0,0,0
