"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",103,15,0,0,0,0
"2004",22,0,0,0,0,0
"2005",51,0,0,0,0,0
"2006",156,0,0,0,0,0
"2007",222,41,0,12,0,0
"2008",146,26,0,4,0,0
"2009",24,9,5,2,0,0
"2010",11,4,0,1,0,0
"2011",0,0,0,0,0,0
"2012",2,2,0,0,0,0
"2013",10,3,1,0,0,0
"2014",0,0,0,0,0,0
"2015",1,1,0,0,0,0
"2016",0,0,0,0,0,0
"2017",0,0,0,0,0,0
"2018",0,0,0,0,0,0
"2019",1,1,1,0,0,1
"2021",3,2,0,0,0,0
"2022",0,0,0,0,0,0
"2023",0,0,0,0,0,0
"2024",0,0,0,0,0,0
