"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",67,2,0,0,1,0,0,0,0,1
"2004",59,3,0,0,0,0,0,0,0,3
"2005",68,6,0,1,0,1,0,0,0,4
"2006",50,3,1,0,0,0,0,1,1,1
"2007",60,13,0,1,2,2,1,1,1,6
"2008",57,8,4,0,0,1,1,1,0,1
"2009",43,9,2,0,1,0,1,0,1,4
"2010",52,5,2,0,1,0,0,0,1,1
"2011",32,6,2,2,0,0,0,0,0,2
"2012",50,7,1,1,0,2,0,0,1,2
"2013",21,5,1,1,0,1,0,1,0,1
"2014",27,5,2,0,0,0,1,0,0,2
"2015",30,3,0,1,0,1,1,0,0,0
"2016",28,3,1,0,0,1,0,0,0,1
"2017",26,4,1,2,0,0,1,0,0,0
"2018",19,9,2,3,1,2,0,0,1,0
"2019",17,3,1,1,1,0,0,0,0,0
"2021",26,5,1,2,0,0,1,0,0,1
"2022",22,3,1,0,1,1,0,0,0,0
"2023",23,1,1,0,0,0,0,0,0,0
"2024",21,2,0,0,0,1,1,0,0,0
