"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",419,155,23,5,10,8,8,19,21,71
"2004",318,187,12,6,8,15,20,19,32,90
"2005",431,244,17,8,18,16,21,24,36,116
"2006",468,185,25,3,14,20,22,18,19,75
"2007",498,199,33,13,17,15,25,19,22,62
"2008",480,205,19,11,12,11,13,15,33,101
"2009",463,221,25,8,12,14,13,19,28,114
"2010",473,243,18,16,14,15,24,27,27,118
"2011",456,243,23,11,12,17,18,25,32,125
"2012",457,244,26,6,15,18,13,19,38,120
"2013",310,161,9,3,4,11,9,16,21,99
"2014",442,243,20,7,9,16,10,15,24,153
"2015",426,246,29,7,11,15,21,23,38,119
"2016",469,223,21,12,18,17,12,27,32,101
"2017",466,242,15,7,14,19,20,28,42,116
"2018",477,227,19,11,9,19,15,23,36,113
"2019",239,110,14,5,10,4,15,10,10,47
"2021",450,234,27,18,15,23,14,28,38,92
"2022",411,224,17,10,18,15,19,23,31,106
"2023",441,221,13,7,15,17,21,22,28,111
"2024",437,222,21,6,15,20,20,23,33,99
