"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",116,0,0,0,0,0
"2004",375,30,0,0,0,0
"2005",188,25,0,0,0,2
"2006",66,12,0,0,0,0
"2007",273,50,0,0,0,0
"2008",32,9,0,0,0,0
"2009",41,12,0,0,0,0
"2010",10,8,0,0,0,0
"2011",21,0,0,0,0,0
"2012",0,0,0,0,0,0
"2013",30,4,0,4,4,0
"2014",0,0,0,0,0,0
"2015",0,0,0,0,0,0
"2016",21,2,0,0,0,0
"2017",0,0,0,0,0,0
"2018",10,2,0,1,1,0
"2019",0,0,0,0,0,0
"2021",0,0,0,0,0,0
"2022",0,0,0,0,0,0
"2023",0,0,0,0,0,0
"2024",0,0,0,0,0,0
