"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003009",7,7,0,0,0,0
"200303003010",50,5,0,0,0,0
"200303003011",2,2,0,0,0,0
"200303003012",17,10,0,0,0,0
"200303003013",49,8,0,0,0,0
"200303003020",22,10,0,0,0,0
"200303003021",9,0,0,0,0,0
"200303003023",4,0,0,0,0,0
"200303003025",2,2,0,0,0,0
"200303003028",38,1,0,0,0,0
"200303003029",12,0,0,0,0,0
"200303003030",11,0,0,0,0,0
"200303003032",6,0,0,0,0,0
"200303003033",9,0,0,0,0,0
"200303003034",34,0,0,0,0,0
"200303003035",27,0,0,0,0,0
"200303003036",13,0,0,0,0,0
"200303003041",14,0,0,0,0,0
"200303003042",4,0,0,0,0,0
"200303003044",1,0,0,0,0,0
"200303003048",15,0,0,0,0,0
"200303003056",3,0,0,0,0,0
"200303003057",1,0,0,0,0,0
"200303003058",1,0,0,0,0,0
"200303003064",1,0,0,0,0,0
"200303003066",5,0,0,0,0,0
"200303003068",1,0,0,0,0,0
"200303003070",1,0,0,0,0,0
"200303003072",6,0,0,0,0,0
"200303003077",3,0,0,0,0,0
"200303003078",7,0,0,0,0,0
"200303003082",1,0,0,0,0,0
"200303003090",13,13,0,0,0,0
"200303003091",11,11,0,0,0,0
"200303003092",1,1,0,0,0,0
"200303003093",7,7,0,0,0,0
"200303003096",1,1,0,0,0,0
"200303003097",84,20,0,0,0,0
"200303003099",1,1,0,0,0,0
"200303003100",2,2,0,0,0,0
"200303003101",2,2,0,0,0,0
"200303003102",1,1,0,0,0,0
"200303003103",2,2,0,0,0,0
"200303003106",3,3,0,0,0,0
"200303003112",1,0,0,0,0,0
"200303003113",12,12,0,0,0,0
"200303003114",3,3,0,0,0,0
"200303003115",8,8,0,0,0,0
"200303003118",32,23,0,0,0,0
"200303003121",21,11,0,0,0,0
"200303003122",44,0,0,0,0,0
"200303003132",1,1,0,0,0,0
"200303003135",3,3,0,0,0,0
"200303003142",19,10,0,0,0,0
"200303006001",11,10,0,0,0,0
"200303006003",1,1,0,0,0,0
"200303006004",34,10,0,0,0,0
