"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",67,2,1,0,0,1,0,0,0,0
"2004",61,1,0,0,1,0,0,0,0,0
"2005",74,0,0,0,0,0,0,0,0,0
"2006",51,2,2,0,0,0,0,0,0,0
"2007",73,0,0,0,0,0,0,0,0,0
"2008",64,1,0,0,1,0,0,0,0,0
"2009",49,3,2,1,0,0,0,0,0,0
"2010",55,2,2,0,0,0,0,0,0,0
"2011",38,0,0,0,0,0,0,0,0,0
"2012",55,2,1,0,1,0,0,0,0,0
"2013",25,1,1,0,0,0,0,0,0,0
"2014",32,0,0,0,0,0,0,0,0,0
"2015",33,0,0,0,0,0,0,0,0,0
"2016",31,0,0,0,0,0,0,0,0,0
"2017",30,0,0,0,0,0,0,0,0,0
"2018",27,1,1,0,0,0,0,0,0,0
"2019",20,0,0,0,0,0,0,0,0,0
"2021",31,0,0,0,0,0,0,0,0,0
"2022",23,2,0,0,1,0,0,0,0,1
"2023",23,1,0,0,0,1,0,0,0,0
"2024",20,3,3,0,0,0,0,0,0,0
