"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303006112",8,0,0,0,0,0
"200303006113",6,0,0,0,0,0
"200303008104",1,0,0,0,0,0
"200303008122",18,0,0,0,0,0
"200303008124",2,0,0,0,0,0
"200303008148",1,0,0,0,0,0
"200303010115",5,0,0,0,0,0
"200303010119",13,0,0,0,0,0
"200303010163",2,0,0,0,0,0
"200403008128",1,1,0,0,0,0
"200403008138",1,1,0,0,0,0
"200403008139",2,2,0,0,0,0
"200403010116",1,1,0,0,0,0
"200403010117",20,20,0,0,0,0
"200403010123",13,13,0,0,0,0
"200403015109",1,1,0,0,0,0
"200403015110",4,4,0,0,0,0
"200503008126",2,2,0,0,0,2
"200503008130",38,15,0,0,0,3
"200503010108",1,1,0,0,0,1
"200503010115",1,1,0,0,0,0
"200503017168",1,1,0,0,0,0
"200503018083",1,1,0,0,0,0
"200503018137",4,4,0,0,0,0
"200603008116",5,5,0,0,0,0
"200603010112",5,5,0,0,0,2
"200603017117",2,2,0,0,0,2
"200603017118",1,1,0,0,0,1
"200703010125",1,1,0,0,0,1
"200803017106",1,1,0,0,0,1
"200803018161",3,3,0,0,0,0
"200903018105",8,8,0,0,0,0
"200903018106",1,1,0,0,0,0
"201003008115",1,1,0,0,0,0
"201003008128",1,1,0,0,0,0
"201003018120",13,12,0,0,0,5
"201103008109",1,1,0,0,0,1
"201103008110",3,3,0,0,0,3
"201103008112",1,1,0,0,0,1
"201103008118",1,1,0,0,0,0
"201103008137",1,1,0,0,0,1
"201103017116",7,7,0,0,0,0
"201103017117",1,1,0,0,0,0
"201203008118",1,1,0,0,0,0
"201203008120",1,1,0,0,0,0
"201203008154",2,2,0,0,0,0
"201203008164",1,1,0,0,0,1
"201203017134",1,1,0,0,0,1
"201203017139",25,15,0,0,0,10
"201203017310",1,1,0,0,0,1
"201203017347",7,7,0,0,0,5
"201303008110",5,5,0,0,0,0
"201303008114",2,2,0,0,0,2
"201303017129",8,8,0,0,0,0
"201303017172",24,15,0,0,0,6
"201403008114",12,12,0,0,0,5
"201403010107",2,2,0,0,0,2
"201403010109",1,1,0,0,0,0
"201403017127",7,7,0,0,0,7
"201403020115",61,15,0,0,0,15
"201503008123",25,24,0,0,0,6
"201503010095",5,5,0,0,0,0
"201503017112",1,1,0,0,0,0
"201503017113",1,1,0,0,0,0
"201503017114",2,2,0,0,0,0
"201503020130",3,3,0,0,0,3
"201503020131",14,14,0,0,0,5
"201603008135",1,1,0,0,0,0
"201603010104",1,1,0,0,0,0
"201603010105",1,1,0,0,0,0
"201603010108",1,1,0,0,0,0
"201603017118",1,1,0,0,0,0
"201603017125",2,2,0,0,0,0
"201703010108",2,2,0,0,0,2
"201703010117",5,5,0,0,0,3
"201703017076",1,1,0,0,0,0
"201703017123",3,3,0,0,0,0
"201703017124",22,22,0,0,0,0
"201703017134",2,2,0,0,0,0
"201803008115",13,13,0,0,0,7
"201803008124",1,1,0,0,0,1
"201803008131",2,2,2,0,0,0
"201803010052",1,1,1,0,0,1
"201803010103",1,1,0,0,0,0
"201803010107",14,14,0,0,0,0
"201803017117",7,7,0,0,0,0
"201803017118",14,14,0,0,0,0
"201803020118",1,1,0,0,0,1
"201803020120",2,2,1,0,0,2
"201803020123",5,5,5,0,0,5
"201803020125",1,1,1,0,0,0
"201903008128",1,1,1,0,1,1
"201903008129",17,17,1,0,2,0
"201903020114",4,4,3,0,2,4
"201903020115",10,10,4,0,0,6
"202103008115",4,4,2,0,0,4
"202103008120",1,1,0,0,0,0
"202103008121",6,6,0,0,0,0
"202103008128",2,2,0,0,0,2
"202103010097",3,3,1,0,0,3
"202103010103",1,1,1,0,0,1
"202103010104",5,5,2,0,0,4
"202103017129",2,2,0,0,0,0
"202103017130",2,2,0,0,0,0
"202203008111",1,1,1,0,0,1
"202203008123",29,29,4,0,0,4
"202203008131",3,3,1,0,0,0
"202203010060",1,1,1,0,0,1
"202203010064",3,3,3,0,0,3
"202203010068",2,2,1,0,0,2
"202203020103",13,13,5,0,0,12
"202203020110",3,3,3,0,0,3
"202303008115",8,8,5,0,8,0
"202303008118",11,11,7,0,6,6
"202303008119",5,5,2,0,5,5
"202303008120",1,1,0,0,1,1
"202303010088",2,2,1,0,2,0
"202303017110",1,1,1,0,1,0
"202303017121",62,50,5,0,4,4
"202403008122",4,4,1,0,0,4
"202403008127",23,23,5,0,0,10
"202403010094",1,1,1,0,0,1
"202403010099",7,7,4,0,0,4
"202403010104",1,1,1,0,0,0
"202403017071",1,1,0,0,0,1
"202403017108",1,1,0,0,0,1
"202403017116",1,1,0,0,0,1
"202403017120",1,1,0,0,0,0
