"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003036",1,0,0,0,0,0
"200303003057",5,0,0,0,0,0
"200303003058",1,0,0,0,0,0
"200303003092",1,0,0,0,0,0
"200303008075",77,0,0,0,0,0
"200303008076",1,0,0,0,0,0
"200303010059",4,0,0,0,0,0
"200403008034",7,0,0,0,0,0
"200403008058",4,0,0,0,0,0
"200403008070",5,0,0,0,0,0
"200403008083",2,0,0,0,0,0
"200403015091",1,0,0,0,0,0
"200503008054",1,0,0,0,0,0
"200503017066",5,0,0,0,0,0
"200503017068",12,0,0,0,0,0
"200503017070",105,0,0,0,0,0
"200503018047",6,0,0,0,0,0
"200503018054",3,0,0,0,0,0
"200603010038",1,0,0,0,0,0
"200603010056",1,0,0,0,0,0
"200603018035",1,0,0,0,0,0
"200603018042",1,0,0,0,0,0
"200703008047",73,0,0,0,0,0
"200703008048",9,0,0,0,0,0
"200703008086",2,0,0,0,0,0
"200703010048",2,0,0,0,0,0
"200703017036",1,0,0,0,0,0
"200703018049",21,0,0,0,0,0
"200703018050",2,0,0,0,0,0
"200703018051",6,0,0,0,0,0
"200703018058",3,0,0,0,0,0
"200703018059",4,0,0,0,0,0
"200803008023",10,0,0,0,0,0
"200803008045",1,0,0,0,0,0
"200803008078",1,0,0,0,0,0
"200803008081",3,0,0,0,0,0
"200803008082",8,0,0,0,0,0
"200803010063",3,0,0,0,0,0
"200803010064",11,0,0,0,0,0
"200803017046",4,0,0,0,0,0
"200803017050",4,0,0,0,0,0
"200803018022",2,0,0,0,0,0
"200803018081",1,0,0,0,0,0
"200903008056",5,0,0,0,0,0
"200903010042",7,0,0,0,0,0
"200903010043",11,0,0,0,0,0
"200903010059",3,0,0,0,0,0
"200903010060",7,0,0,0,0,0
"200903017016",6,0,0,0,0,0
"200903017033",2,0,0,0,0,0
"200903017066",1,0,0,0,0,0
"200903018052",15,0,0,0,0,0
"200903018068",6,0,0,0,0,0
"200903018069",1,0,0,0,0,0
"200903018077",1,0,0,0,0,0
"201003008045",13,13,0,0,0,0
"201003008081",9,9,0,0,0,0
"201003010066",6,6,0,0,0,0
"201003010069",2,2,0,0,0,0
"201003017048",1,1,0,0,0,0
"201003018021",1,1,0,0,0,0
"201003018022",2,2,0,0,0,0
"201003018068",27,27,0,0,0,0
"201003018069",21,21,0,0,0,0
"201003018075",2,2,0,0,0,0
"201103008043",3,3,0,0,0,0
"201103008044",15,15,0,0,0,0
"201103008045",2,2,0,0,0,0
"201103010011",4,4,0,0,0,0
"201103010062",1,1,0,0,0,0
"201103010083",4,4,0,0,0,0
"201103010101",1,1,0,0,0,0
"201103017020",1,1,0,0,0,0
"201103017024",1,1,0,0,0,0
"201103018044",2,0,0,0,0,0
"201103018045",1,1,0,0,0,0
"201103018071",2,2,0,0,0,0
"201103018090",1,1,0,0,0,0
"201203008021",1,1,0,0,0,0
"201203008039",4,4,0,0,0,0
"201203008055",5,0,0,0,0,0
"201203010057",1,1,0,0,0,0
"201203010079",10,10,0,0,0,0
"201203010089",4,4,0,0,0,0
"201203010104",1,1,0,0,0,0
"201203017031",3,2,0,0,0,0
"201203017032",1,1,0,0,0,0
"201203017035",2,2,0,0,0,0
"201203017036",2,2,0,0,0,0
"201203017067",1,1,0,0,0,0
"201203017107",5,5,0,0,0,0
"201203017229",2,2,0,0,0,0
"201203017237",1,1,0,0,0,0
"201303008053",4,4,0,0,0,0
"201303008058",1,1,0,0,0,0
"201303008059",9,9,0,0,0,0
"201303008093",2,2,0,0,0,0
"201303017019",5,5,0,0,0,0
"201303020021",5,5,0,0,0,0
"201303020022",7,7,0,0,0,0
"201303020056",24,24,0,0,0,0
"201303020057",2,2,0,0,0,0
"201303020058",1,1,0,0,0,0
"201303020060",1,1,0,0,0,0
"201303020080",5,5,0,0,0,0
"201303020098",3,3,0,0,0,0
"201403008051",3,3,0,0,0,0
"201403008053",16,16,0,0,0,0
"201403008054",3,3,0,0,0,0
"201403010040",16,0,0,0,0,0
"201403010041",1,1,0,0,0,0
"201403010042",2,2,0,0,0,0
"201403010043",6,6,0,0,0,0
"201403010066",1,1,0,0,0,0
"201403010068",2,2,0,0,0,0
"201403010086",9,9,0,0,0,0
"201403017020",9,9,0,0,0,0
"201403017026",1,1,0,0,0,0
"201403017028",25,25,0,0,0,0
"201403017046",1,1,0,0,0,0
"201403017082",4,4,0,0,0,0
"201403020045",1,1,0,0,0,0
"201503008060",1,0,0,0,0,0
"201503008066",1,0,0,0,0,0
"201503008074",4,0,0,0,0,0
"201503008092",2,0,0,0,0,0
"201503010030",11,0,0,0,0,0
"201503010034",9,0,0,0,0,0
"201503010044",26,0,0,0,0,0
"201503017028",1,0,0,0,0,0
"201503017052",5,0,0,0,0,0
"201503017060",3,0,0,0,0,0
"201503020054",5,0,0,0,0,0
"201603008028",9,0,0,0,0,0
"201603008097",1,0,0,0,0,0
"201603010027",26,0,0,0,0,0
"201603010028",5,0,0,0,0,0
"201603010034",1,0,0,0,0,0
"201603017008",1,0,0,0,0,0
"201603017042",5,0,0,0,0,0
"201603017056",1,0,0,0,0,0
"201603017067",1,0,0,0,0,0
"201703008026",4,0,0,0,0,0
"201703008065",8,8,0,0,0,0
"201703008076",2,2,0,0,0,0
"201703010031",1,1,0,0,0,0
"201703010035",15,15,0,0,0,0
"201703010041",1,1,0,0,0,0
"201703010064",2,2,0,0,0,0
"201703017030",7,7,0,0,0,0
"201703017031",2,2,0,0,0,0
"201703017037",1,1,0,0,0,0
"201703017038",8,8,0,0,0,0
"201703017039",1,1,0,0,0,0
"201703017058",1,1,0,0,0,0
"201703020045",15,15,0,0,0,0
"201703020046",12,12,0,0,0,0
"201703020057",2,2,0,0,0,0
"201703020059",1,1,0,0,0,0
"201703020083",1,1,0,0,0,0
"201803008016",20,20,0,0,0,0
"201803010010",21,21,0,0,0,0
"201803010036",5,5,0,0,0,0
"201803010037",10,10,0,0,0,0
"201803010054",1,1,0,0,0,0
"201803017024",3,3,0,0,0,0
"201803017025",2,2,0,0,0,0
"201803017044",2,2,0,0,0,0
"201803017045",21,21,0,0,0,0
"201803017071",1,1,0,0,0,0
"201803020019",15,15,0,0,0,0
"201803020034",18,18,0,0,0,0
"201803020042",4,4,0,0,0,0
"201803020055",7,7,0,0,0,0
"201903008017",26,0,0,0,0,0
"201903008020",1,0,0,0,0,0
"201903008025",3,0,0,0,0,0
"201903020029",14,0,0,0,0,0
"201903020030",12,0,0,0,0,0
"201903020044",1,0,0,0,0,0
"201903020064",12,0,0,0,0,0
"202103008034",1,0,0,0,0,0
"202103008046",1,0,0,0,0,0
"202103008048",4,0,0,0,0,0
"202103008049",2,0,0,0,0,0
"202103008070",3,0,0,0,0,0
"202103008075",1,0,0,0,0,0
"202103008080",1,0,0,0,0,0
"202103010012",3,0,0,0,0,0
"202103010046",23,0,0,0,0,0
"202103010047",1,0,0,0,0,0
"202103017040",2,0,0,0,0,0
"202103017050",7,0,0,0,0,0
"202103017051",4,0,0,0,0,0
"202103017063",3,0,0,0,0,0
"202103017064",3,0,0,0,0,0
"202103017084",8,0,0,0,0,0
"202103020052",27,0,0,0,0,0
"202103020053",15,0,0,0,0,0
"202203008012",6,6,0,0,0,0
"202203008082",12,12,0,0,0,0
"202203017021",21,21,0,0,0,0
"202203017025",5,5,0,0,0,0
"202203017043",24,24,0,0,0,0
"202203017047",8,8,0,0,0,0
"202203017048",1,1,0,0,0,0
"202203020021",6,6,0,0,0,0
"202203020054",1,1,0,0,0,0
"202203020070",2,2,0,0,0,0
"202303008018",20,20,0,0,0,0
"202303008019",1,1,0,0,0,0
"202303008020",1,1,0,0,0,0
"202303008021",10,8,0,0,0,0
"202303008065",9,9,0,0,0,0
"202303008078",1,1,0,0,0,0
"202303010036",16,16,0,0,0,0
"202303010038",2,2,0,0,0,0
"202303017032",2,2,0,0,0,0
"202303017033",3,3,0,0,0,0
"202303017046",1,1,0,0,0,0
"202303020010",6,6,0,0,0,0
"202303020012",34,21,0,0,0,0
"202303020013",20,20,0,0,0,0
"202303020014",3,3,0,0,0,0
"202303020045",1,1,0,0,0,0
"202303020057",10,10,0,0,0,0
"202303020058",5,5,0,0,0,0
"202403008026",1,0,0,0,0,0
"202403008027",7,0,0,0,0,0
"202403008030",12,0,0,0,0,0
"202403008053",24,0,0,0,0,0
"202403008063",5,0,0,0,0,0
"202403008076",2,0,0,0,0,0
"202403010018",15,0,0,0,0,0
"202403017038",11,0,0,0,0,0
"202403017078",3,0,0,0,0,0
"202403020005",1,0,0,0,0,0
"202403020013",1,0,0,0,0,0
"202403020023",13,0,0,0,0,0
"202403020026",2,0,0,0,0,0
