"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003005",4,4,0,0,0,0
"200303003013",9,9,0,0,0,0
"200303003032",3,3,0,0,0,0
"200303003034",5,5,0,0,0,0
"200303003056",8,8,0,0,0,0
"200303003066",33,25,0,0,0,0
"200303003072",1,1,0,0,0,0
"200303003077",1,1,0,0,0,0
"200303003082",3,3,0,0,0,0
"200303003092",5,5,0,0,0,0
"200303003105",1,1,0,0,0,0
"200303006007",1,1,0,0,0,0
"200303006010",1,1,0,0,0,0
"200303006011",92,15,0,0,0,0
"200303006014",1,1,0,0,0,0
"200303006023",24,15,0,0,0,0
"200303006024",19,15,0,0,0,0
"200303006044",1,1,0,0,0,0
"200303006056",7,7,0,0,0,0
"200303006059",4,4,0,0,0,0
"200303006062",1,1,0,0,0,0
"200303006066",11,11,0,0,0,0
"200303006067",1,1,0,0,0,0
"200303006073",4,4,0,0,0,0
"200303006075",5,5,0,0,0,0
"200303006101",2,2,0,0,0,0
"200303006106",34,15,0,0,0,0
"200303006124",1,1,0,0,0,0
"200303006126",1,1,0,0,0,0
"200303008019",1,1,0,0,0,0
"200303008026",1,1,0,0,0,0
"200303008036",3,3,0,0,0,0
"200303008042",33,25,0,0,0,0
"200303008045",3,3,0,0,0,0
"200303008063",9,9,0,0,0,0
"200303008079",3,3,0,0,0,0
"200303008102",1,1,0,0,0,0
"200303008176",1,1,0,0,0,0
"200303010016",7,7,0,0,0,0
"200303010017",14,14,0,0,0,0
"200303010018",7,7,0,0,0,0
"200303010029",1,1,0,0,0,0
"200303010044",1,1,0,0,0,0
"200303010064",1,1,0,0,0,0
"200303010069",3,3,0,0,0,0
"200303010078",1,1,0,0,0,0
"200303010108",35,15,0,0,0,0
"200303010109",1,1,0,0,0,0
"200303010115",1,1,0,0,0,0
"200303010119",13,13,0,0,0,0
"200403008004",1,1,0,0,0,0
"200403008011",5,5,0,0,0,0
"200403008017",1,1,0,0,0,0
"200403008018",1,1,0,0,0,0
"200403008019",1,1,0,0,0,0
"200403008022",2,2,0,0,0,0
"200403008023",5,5,0,0,0,0
"200403008024",16,16,0,0,0,0
"200403008069",3,3,0,0,0,0
"200403008070",27,27,0,0,0,0
"200403008079",1,1,0,0,0,0
"200403008082",1,1,0,0,0,0
"200403008123",1,1,0,0,0,0
"200403008124",1,1,0,0,0,0
"200403008131",1,1,0,0,0,0
"200403008140",21,21,0,0,0,0
"200403010012",1,1,0,0,0,0
"200403010017",116,25,0,0,0,0
"200403010035",1,1,0,0,0,0
"200403010038",9,9,0,0,0,0
"200403010051",1,1,0,0,0,0
"200403010063",1,1,0,0,0,0
"200403010066",66,25,0,0,0,0
