"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",502,72,36,9,16,7,4,0,0,0
"2004",441,64,31,11,13,6,3,0,0,0
"2005",589,86,50,20,12,3,1,0,0,0
"2006",607,46,30,5,7,4,0,0,0,0
"2007",643,54,45,5,4,0,0,0,0,0
"2008",623,62,48,8,3,2,1,0,0,0
"2009",604,80,56,21,2,1,0,0,0,0
"2010",652,64,44,10,8,2,0,0,0,0
"2011",612,87,57,16,9,4,1,0,0,0
"2012",590,111,59,19,17,9,3,3,1,1
"2013",397,74,37,10,13,11,2,0,0,1
"2014",588,97,50,14,13,9,7,4,2,0
"2015",575,97,52,16,16,8,4,1,1,0
"2016",593,99,49,18,18,12,2,0,0,0
"2017",619,89,54,11,17,6,0,1,0,0
"2018",617,87,61,9,10,5,2,0,0,0
"2019",316,33,23,7,1,2,0,0,0,0
"2021",603,81,52,14,8,5,1,1,1,0
"2022",553,82,57,9,8,5,3,0,0,0
"2023",578,84,58,10,9,6,1,0,0,0
"2024",590,69,39,16,9,3,2,0,0,0
