"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",68,1,0,0,1,0,0,0,0,0
"2004",59,3,3,0,0,0,0,0,0,0
"2005",71,3,2,0,1,0,0,0,0,0
"2006",52,1,0,1,0,0,0,0,0,0
"2007",69,4,3,0,1,0,0,0,0,0
"2008",63,2,1,0,1,0,0,0,0,0
"2009",49,3,2,1,0,0,0,0,0,0
"2010",56,1,0,1,0,0,0,0,0,0
"2011",35,3,3,0,0,0,0,0,0,0
"2012",54,3,2,1,0,0,0,0,0,0
"2013",23,3,2,0,1,0,0,0,0,0
"2014",30,2,1,0,0,1,0,0,0,0
"2015",31,2,2,0,0,0,0,0,0,0
"2016",29,2,2,0,0,0,0,0,0,0
"2017",28,2,2,0,0,0,0,0,0,0
"2018",24,4,3,1,0,0,0,0,0,0
"2019",19,1,1,0,0,0,0,0,0,0
"2021",27,4,4,0,0,0,0,0,0,0
"2022",24,1,1,0,0,0,0,0,0,0
"2023",24,0,0,0,0,0,0,0,0,0
"2024",21,2,2,0,0,0,0,0,0,0
