"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",787,0,0,0,0,0
"2004",660,0,0,0,0,0
"2005",554,0,0,0,0,0
"2006",301,0,0,0,0,0
"2007",203,0,0,0,0,0
"2008",299,265,0,0,0,0
"2009",318,313,0,0,0,0
"2010",317,0,0,0,0,0
"2011",506,0,0,0,0,0
"2012",1040,0,0,0,0,0
"2013",795,0,0,0,0,0
"2014",1191,0,0,0,0,0
"2015",837,359,0,0,0,0
"2016",820,344,0,0,0,0
"2017",602,0,0,0,0,0
"2018",484,0,0,0,0,0
"2019",179,104,0,0,0,0
"2021",476,245,0,0,0,0
"2022",450,2,0,0,0,0
"2023",501,0,0,0,0,0
"2024",461,243,0,0,0,0
