"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",19,0,0,0,0,0
"2004",8,0,0,0,0,0
"2005",13,0,0,0,0,0
"2006",10,0,0,0,0,0
"2007",23,0,0,0,0,0
"2008",1,1,0,0,0,0
"2009",9,9,0,0,0,0
"2010",6,0,0,0,0,0
"2011",1,0,0,0,0,0
"2012",0,0,0,0,0,0
"2013",13,0,0,0,0,0
"2014",0,0,0,0,0,0
"2015",0,0,0,0,0,0
"2016",5,4,0,0,0,0
"2017",0,0,0,0,0,0
"2018",3,0,0,0,0,0
"2019",0,0,0,0,0,0
"2021",0,0,0,0,0,0
"2022",0,0,0,0,0,0
"2023",0,0,0,0,0,0
"2024",0,0,0,0,0,0
