"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003056",34,0,0,0,0,0
"200303003057",4,0,0,0,0,0
"200303003076",17,0,0,0,0,0
"200303003092",17,0,0,0,0,0
"200303003099",2,0,0,0,0,0
"200303003102",11,0,0,0,0,0
"200303003105",34,0,0,0,0,0
"200303003106",19,0,0,0,0,0
"200303003107",2,0,0,0,0,0
"200303003109",10,0,0,0,0,0
"200303003112",5,0,0,0,0,0
"200303003117",3,0,0,0,0,0
"200303003119",17,0,0,0,0,0
"200303003120",17,0,0,0,0,0
"200303003124",8,0,0,0,0,0
"200303003129",1,0,0,0,0,0
"200303003132",2,0,0,0,0,0
"200303003135",1,0,0,0,0,0
"200303006023",2,0,0,0,0,0
"200303006057",1,0,0,0,0,0
"200303006058",11,0,0,0,0,0
"200303006084",5,0,0,0,0,0
"200303006103",10,0,0,0,0,0
"200303006106",1,0,0,0,0,0
"200303006111",1,0,0,0,0,0
"200303006113",16,0,0,0,0,0
"200303006115",1,0,0,0,0,0
"200303006116",50,0,0,0,0,0
"200303006124",2,0,0,0,0,0
"200303006127",9,0,0,0,0,0
"200303006128",13,0,0,0,0,0
"200303006132",25,0,0,0,0,0
"200303006136",51,0,0,0,0,0
"200303006143",15,0,0,0,0,0
"200303006144",2,0,0,0,0,0
"200303006156",5,0,0,0,0,0
"200303006157",1,0,0,0,0,0
"200303006159",36,0,0,0,0,0
"200303006162",2,0,0,0,0,0
"200303008030",4,0,0,0,0,0
"200303008061",9,0,0,0,0,0
"200303008064",5,0,0,0,0,0
"200303008075",7,0,0,0,0,0
"200303008084",4,0,0,0,0,0
"200303008104",29,0,0,0,0,0
"200303008116",22,0,0,0,0,0
"200303008120",10,0,0,0,0,0
"200303008122",2,0,0,0,0,0
"200303008123",3,0,0,0,0,0
"200303008124",32,0,0,0,0,0
"200303008128",7,0,0,0,0,0
"200303008129",2,0,0,0,0,0
"200303008134",34,0,0,0,0,0
"200303008143",14,0,0,0,0,0
"200303008144",2,0,0,0,0,0
"200303008145",3,0,0,0,0,0
"200303008148",1,0,0,0,0,0
"200303008162",2,0,0,0,0,0
"200303008163",1,0,0,0,0,0
"200303008165",4,0,0,0,0,0
"200303010028",1,0,0,0,0,0
"200303010059",1,0,0,0,0,0
"200303010072",7,0,0,0,0,0
"200303010104",1,0,0,0,0,0
"200303010108",17,0,0,0,0,0
"200303010115",37,0,0,0,0,0
"200303010119",15,0,0,0,0,0
"200303010122",11,0,0,0,0,0
"200303010130",5,0,0,0,0,0
"200303010137",15,0,0,0,0,0
"200303010138",17,0,0,0,0,0
"200403008028",1,0,0,0,0,0
"200403008034",1,0,0,0,0,0
"200403008055",1,0,0,0,0,0
"200403008057",4,0,0,0,0,0
"200403008059",1,0,0,0,0,0
"200403008083",2,0,0,0,0,0
"200403008091",51,0,0,0,0,0
"200403008098",3,0,0,0,0,0
"200403008105",3,0,0,0,0,0
"200403008106",8,0,0,0,0,0
"200403008115",1,0,0,0,0,0
"200403008116",4,0,0,0,0,0
"200403008122",3,0,0,0,0,0
"200403008124",9,0,0,0,0,0
"200403008128",10,0,0,0,0,0
"200403008131",1,0,0,0,0,0
"200403008132",1,0,0,0,0,0
"200403008133",12,0,0,0,0,0
"200403008138",2,0,0,0,0,0
"200403008139",9,0,0,0,0,0
"200403008140",11,0,0,0,0,0
"200403008142",18,0,0,0,0,0
"200403008148",8,0,0,0,0,0
"200403008154",26,0,0,0,0,0
"200403008155",30,0,0,0,0,0
"200403008195",1,0,0,0,0,0
"200403008196",9,0,0,0,0,0
"200403008200",1,0,0,0,0,0
"200403010063",14,0,0,0,0,0
"200403010064",18,0,0,0,0,0
"200403010065",13,0,0,0,0,0
"200403010071",1,0,0,0,0,0
"200403010117",27,0,0,0,0,0
"200403010122",40,0,0,0,0,0
"200403010123",4,0,0,0,0,0
"200403010131",9,0,0,0,0,0
"200403010132",10,0,0,0,0,0
"200403010136",13,0,0,0,0,0
"200403010139",5,0,0,0,0,0
"200403010153",5,0,0,0,0,0
"200403010165",1,0,0,0,0,0
"200403010166",2,0,0,0,0,0
"200403010172",1,0,0,0,0,0
"200403015051",12,0,0,0,0,0
"200403015052",30,0,0,0,0,0
"200403015054",16,0,0,0,0,0
"200403015091",19,0,0,0,0,0
"200403015099",8,0,0,0,0,0
"200403015100",7,0,0,0,0,0
"200403015102",5,0,0,0,0,0
"200403015103",3,0,0,0,0,0
"200403015107",1,0,0,0,0,0
"200403015110",15,0,0,0,0,0
"200403015113",3,0,0,0,0,0
"200403015118",34,0,0,0,0,0
"200403015119",41,0,0,0,0,0
"200403015121",12,0,0,0,0,0
"200403015123",5,0,0,0,0,0
"200403015136",15,0,0,0,0,0
"200403015143",33,0,0,0,0,0
"200403015153",2,0,0,0,0,0
"200403015161",4,0,0,0,0,0
"200403015163",1,0,0,0,0,0
"200503008052",1,0,0,0,0,0
"200503008054",1,0,0,0,0,0
"200503008056",1,0,0,0,0,0
"200503008075",2,0,0,0,0,0
"200503008078",1,0,0,0,0,0
"200503008093",1,0,0,0,0,0
"200503008094",2,0,0,0,0,0
"200503008109",1,0,0,0,0,0
"200503008121",1,0,0,0,0,0
"200503008125",9,0,0,0,0,0
"200503008126",9,0,0,0,0,0
"200503008128",1,0,0,0,0,0
"200503008129",2,0,0,0,0,0
"200503008131",8,0,0,0,0,0
"200503008132",11,0,0,0,0,0
"200503008134",1,0,0,0,0,0
"200503008138",21,0,0,0,0,0
"200503008144",20,0,0,0,0,0
"200503008146",9,0,0,0,0,0
"200503008166",2,0,0,0,0,0
"200503008172",8,0,0,0,0,0
"200503008175",2,0,0,0,0,0
"200503008195",1,0,0,0,0,0
"200503010052",4,0,0,0,0,0
"200503010059",1,0,0,0,0,0
