"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003124",1,0,0,0,0,0
"200303003142",4,0,0,0,0,0
"200303006148",2,0,0,0,0,0
"200303008164",55,0,0,0,0,0
"200303008165",1,0,0,0,0,0
"200303008176",14,0,0,0,0,0
"200303010149",1,0,0,0,0,0
"200403008140",2,2,0,0,0,0
"200403008180",5,5,0,0,0,0
"200403008182",1,1,0,0,0,0
"200403008187",2,2,0,0,0,0
"200403008203",15,15,0,0,0,0
"200403010184",1,1,0,0,0,0
"200403010185",1,1,0,0,0,0
"200403015153",1,1,0,0,0,0
"200403015163",1,1,0,0,0,0
"200403015176",1,1,0,0,0,0
"200503008195",1,1,0,0,0,1
"200503008207",3,3,0,0,0,1
"200503010158",1,1,0,0,0,1
"200503017191",1,1,0,0,0,0
"200503018156",1,1,0,0,0,0
"200503018171",9,9,0,0,0,0
"200503018173",1,1,0,0,0,0
"200603008145",4,4,0,0,0,0
"200603010135",1,1,0,0,0,1
"200603010150",2,2,0,1,2,2
"200603017154",2,2,0,0,0,0
"200603017160",1,1,0,0,0,0
"200603017166",8,8,0,0,0,0
"200603017180",3,3,0,0,0,0
"200603017181",1,1,0,0,0,0
"200603018147",3,3,0,0,0,0
"200703008170",3,2,0,0,0,1
"200703008172",2,2,0,0,0,2
"200703008181",5,5,0,0,0,4
"200703010163",5,5,0,0,0,2
"200703010183",4,4,0,0,0,4
"200703010187",1,1,0,0,0,0
"200703017167",2,2,0,0,0,0
"200703017182",5,5,0,0,0,0
"200703017184",1,1,0,0,0,0
"200703018124",1,1,0,0,0,0
"200703018168",2,2,0,0,0,0
"200703018169",4,4,0,0,0,0
"200703018179",20,15,0,0,0,0
"200803010136",1,1,0,0,0,0
"200803010160",1,1,0,0,0,1
"200803010164",1,1,0,0,0,1
"200803010169",1,1,0,0,0,0
"200803017158",1,1,0,0,0,0
"200803017177",1,1,0,0,0,0
"200803018155",1,1,0,0,0,0
"200803018164",1,1,0,0,0,0
"200903008123",1,1,0,0,0,1
"200903008165",1,1,0,0,0,1
"200903010161",1,1,0,0,0,0
"200903010169",3,3,0,0,0,0
"200903010180",3,3,0,0,0,0
"200903017120",3,3,0,0,0,3
"200903017148",5,5,0,0,0,0
"200903017153",3,3,0,0,0,0
"200903017164",1,1,0,0,0,0
"200903017167",6,6,0,0,0,0
"200903018151",3,3,0,0,0,0
"201003010180",1,1,0,0,0,0
"201003017147",2,2,0,0,0,2
"201003017155",2,2,0,0,0,0
"201003017157",1,1,0,0,0,0
"201003017175",3,3,0,0,0,0
"201003017176",1,1,0,0,0,0
"201003018167",3,3,0,0,0,0
"201003018191",3,3,0,0,0,0
"201103010174",1,1,0,0,0,0
"201103010182",1,1,0,0,0,1
"201103017186",2,2,0,0,0,2
"201103017188",1,1,0,0,0,0
"201103018152",1,1,0,0,0,0
"201203008157",46,15,0,0,0,11
"201203008158",18,15,0,0,0,5
"201203008173",1,1,0,0,0,1
"201203008177",1,1,0,0,0,1
"201203010166",2,2,0,0,0,0
"201203017196",1,1,0,0,0,0
"201303017067",3,3,0,0,0,0
"201303017185",3,3,0,0,0,0
"201303017189",4,4,0,0,0,0
"201303020185",1,1,0,0,0,1
"201403008151",2,2,0,0,0,0
"201403008173",1,1,0,0,0,0
"201403008184",5,5,0,0,0,0
"201403017161",8,8,0,0,0,0
"201403017174",3,3,0,0,0,0
"201503008183",1,1,0,0,0,0
"201503017149",1,0,0,0,0,0
"201503017157",2,2,0,0,0,2
"201503017175",7,7,0,0,0,0
"201503020175",7,7,0,0,0,0
"201603008162",3,3,0,0,0,0
"201603008169",1,1,0,0,0,0
"201603008174",2,2,0,0,0,0
"201603017057",1,1,0,0,0,0
"201603017127",1,1,0,0,0,1
"201603017158",1,1,0,0,0,1
"201603020128",1,1,0,0,0,1
"201603020193",2,2,0,0,0,2
"201703008124",1,1,0,0,0,1
"201703008154",9,9,0,0,0,6
"201703008188",1,1,0,0,0,0
"201703010153",22,15,0,0,0,4
"201703017174",1,1,0,0,0,0
"201703020114",1,1,0,0,0,1
"201703020178",1,1,0,0,0,1
"201803008166",4,4,0,0,0,4
"201803008174",1,1,0,0,0,1
"201803008192",1,1,0,0,0,1
"201803010082",1,1,0,0,0,0
"201803010113",9,9,0,0,0,0
"201803010149",8,8,0,0,0,2
"201803010169",4,4,0,0,0,3
"201803020159",5,5,0,0,0,0
"201803020196",1,1,0,0,0,0
"201903008173",4,4,0,0,0,3
"201903020169",2,2,0,0,2,0
"201903020180",13,13,0,0,3,0
"202103020183",1,1,0,0,0,1
"202203008167",1,1,0,0,0,0
"202203008176",2,2,0,0,0,0
"202203010095",1,1,0,0,0,1
"202203010109",1,1,0,0,0,1
"202203020100",1,1,0,0,0,1
"202203020146",1,1,0,0,0,0
"202303008157",14,14,0,0,2,2
"202303008175",1,1,0,0,1,1
"202303017159",1,1,0,0,1,0
"202303017191",1,1,0,0,1,0
"202303020148",13,13,0,0,4,0
"202403008131",2,2,0,0,0,2
"202403017167",1,1,0,0,0,0
"202403017172",1,1,0,0,0,0
"202403020142",3,3,0,0,0,0
"202403020145",1,1,0,0,0,0
"202403020167",1,1,0,0,0,0
