"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",568,6,4,0,1,1,0,0,0,0
"2004",496,9,4,3,2,0,0,0,0,0
"2005",662,13,13,0,0,0,0,0,0,0
"2006",639,14,12,0,1,0,1,0,0,0
"2007",689,8,6,1,1,0,0,0,0,0
"2008",669,16,14,0,1,0,1,0,0,0
"2009",673,11,6,4,1,0,0,0,0,0
"2010",696,20,16,1,0,2,1,0,0,0
"2011",686,13,8,1,3,0,1,0,0,0
"2012",684,17,16,1,0,0,0,0,0,0
"2013",465,6,5,0,0,0,1,0,0,0
"2014",671,14,13,0,1,0,0,0,0,0
"2015",656,16,13,3,0,0,0,0,0,0
"2016",681,11,9,1,1,0,0,0,0,0
"2017",698,10,10,0,0,0,0,0,0,0
"2018",692,12,7,1,3,1,0,0,0,0
"2019",342,7,6,0,1,0,0,0,0,0
"2021",677,7,6,0,0,1,0,0,0,0
"2022",631,4,1,1,2,0,0,0,0,0
"2023",648,14,11,2,0,0,0,1,0,0
"2024",650,9,8,1,0,0,0,0,0,0
