"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",68,1,0,1,0,0,0,0,0,0
"2004",60,2,2,0,0,0,0,0,0,0
"2005",72,2,0,0,0,2,0,0,0,0
"2006",51,2,1,0,0,1,0,0,0,0
"2007",71,2,1,1,0,0,0,0,0,0
"2008",55,10,5,1,1,3,0,0,0,0
"2009",48,4,2,1,1,0,0,0,0,0
"2010",54,3,1,1,0,1,0,0,0,0
"2011",32,6,4,0,0,2,0,0,0,0
"2012",51,6,3,1,0,1,0,0,0,1
"2013",23,3,3,0,0,0,0,0,0,0
"2014",29,3,2,1,0,0,0,0,0,0
"2015",32,1,0,1,0,0,0,0,0,0
"2016",28,3,3,0,0,0,0,0,0,0
"2017",24,6,4,1,1,0,0,0,0,0
"2018",26,2,2,0,0,0,0,0,0,0
"2019",19,1,1,0,0,0,0,0,0,0
"2021",31,0,0,0,0,0,0,0,0,0
"2022",21,4,2,1,1,0,0,0,0,0
"2023",24,0,0,0,0,0,0,0,0,0
"2024",22,1,0,1,0,0,0,0,0,0
