"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",92,0,0,0,0,0
"2004",5,5,0,0,0,0
"2005",30,13,0,0,0,1
"2006",136,20,0,0,5,4
"2007",25,5,0,0,0,0
"2008",12,7,0,0,0,0
"2009",34,18,0,2,2,0
"2010",2,0,0,0,0,0
"2011",7,0,0,0,0,0
"2012",13,5,0,0,0,0
"2013",19,5,0,0,0,0
"2014",0,0,0,0,0,0
"2015",0,0,0,0,0,0
"2016",0,0,0,0,0,0
"2017",0,0,0,0,0,0
"2018",0,0,0,0,0,0
"2019",0,0,0,0,0,0
"2021",0,0,0,0,0,0
"2022",0,0,0,0,0,0
"2023",0,0,0,0,0,0
"2024",0,0,0,0,0,0
