"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003005",49,0,0,0,0,0
"200303003009",2,0,0,0,0,0
"200303003012",2,0,0,0,0,0
"200303003013",50,0,0,0,0,0
"200303003021",32,0,0,0,0,0
"200303003023",1,0,0,0,0,0
"200303003027",1,0,0,0,0,0
"200303003028",50,0,0,0,0,0
"200303003029",47,0,0,0,0,0
"200303003030",44,0,0,0,0,0
"200303003032",5,0,0,0,0,0
"200303003033",4,0,0,0,0,0
"200303003034",50,0,0,0,0,0
"200303003043",5,0,0,0,0,0
"200303003044",2,0,0,0,0,0
"200303003048",24,0,0,0,0,0
"200303003064",20,0,0,0,0,0
"200303003066",97,0,0,0,0,0
"200303003069",6,0,0,0,0,0
"200303003070",5,0,0,0,0,0
"200303003072",63,0,0,0,0,0
"200303003077",65,0,0,0,0,0
"200303003078",23,0,0,0,0,0
"200303003082",19,0,0,0,0,0
"200303003090",50,0,0,0,0,0
"200303003097",3,0,0,0,0,0
"200303003100",1,0,0,0,0,0
"200303003103",2,0,0,0,0,0
"200303003105",82,0,0,0,0,0
"200303003108",4,0,0,0,0,0
"200303003129",1,0,0,0,0,0
"200303006001",30,15,0,0,0,0
"200303006005",23,15,0,0,0,0
"200303006011",8,8,0,0,0,0
"200303006013",4,4,0,0,0,0
"200303006014",10,10,0,0,0,0
"200303006016",1,1,0,0,0,0
"200303006023",8,8,0,0,0,0
"200303006024",123,15,0,0,0,0
"200303006025",2,2,0,0,0,0
"200303006026",1,1,0,0,0,0
"200303006032",10,10,0,0,0,0
"200303006037",1,1,0,0,0,0
"200303006039",32,15,0,0,0,0
"200303006044",28,15,0,0,0,0
"200303006056",26,15,0,0,0,0
"200303006057",35,15,0,0,0,0
"200303006059",19,14,0,0,0,0
"200303006062",5,5,0,0,0,0
"200303006066",11,11,0,0,0,0
"200303006067",94,15,0,0,0,0
"200303006068",23,15,0,0,0,0
"200303006073",1,1,0,0,0,0
"200303006075",36,10,0,0,0,0
"200303006080",12,10,0,0,0,0
"200303006082",43,10,0,0,0,0
"200303006095",33,15,0,0,0,0
"200303006101",4,4,0,0,0,0
"200303006103",2,2,0,0,0,0
"200303006106",67,15,0,0,0,0
"200303006107",2,2,0,0,0,0
"200303006108",11,11,0,0,0,0
"200303006110",2,2,0,0,0,0
"200303006114",12,12,0,0,0,0
"200303006121",9,9,0,0,0,0
"200303006131",1,1,0,0,0,0
"200303006134",1,1,0,0,0,0
"200303006138",34,15,0,0,0,0
"200303006148",1,1,0,0,0,0
"200303006149",6,6,0,0,0,0
"200303008008",44,0,0,0,0,0
"200303008015",30,0,0,0,0,0
"200303008019",9,0,0,0,0,0
"200303008020",53,0,0,0,0,0
"200303008022",50,0,0,0,0,0
"200303008023",77,0,0,0,0,0
"200303008026",10,0,0,0,0,0
"200303008027",1,0,0,0,0,0
"200303008031",2,0,0,0,0,0
"200303008032",1,0,0,0,0,0
"200303008034",96,0,0,0,0,0
"200303008036",2,0,0,0,0,0
"200303008037",7,0,0,0,0,0
"200303008042",56,0,0,0,0,0
"200303008045",53,0,0,0,0,0
"200303008046",2,0,0,0,0,0
"200303008047",47,0,0,0,0,0
"200303008060",19,0,0,0,0,0
"200303008063",6,0,0,0,0,0
"200303008074",42,0,0,0,0,0
"200303008076",16,0,0,0,0,0
"200303008079",84,0,0,0,0,0
"200303008080",11,0,0,0,0,0
"200303008086",5,0,0,0,0,0
"200303008096",2,0,0,0,0,0
"200303008102",83,0,0,0,0,0
"200303008105",82,0,0,0,0,0
"200303008111",4,0,0,0,0,0
"200303008113",1,0,0,0,0,0
"200303008116",1,0,0,0,0,0
"200303008118",9,0,0,0,0,0
"200303008120",52,0,0,0,0,0
"200303008125",51,0,0,0,0,0
"200303008164",6,0,0,0,0,0
"200303008165",4,0,0,0,0,0
"200303008176",19,0,0,0,0,0
"200303010005",113,17,0,0,0,0
"200303010013",144,16,0,0,0,0
"200303010016",16,16,0,0,0,0
"200303010018",14,14,0,0,0,0
"200303010020",27,15,0,0,0,0
"200303010023",107,15,0,0,0,0
"200303010030",2,2,0,0,0,0
