"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",68,1,0,0,0,0,0,0,0,1
"2004",60,2,1,1,0,0,0,0,0,0
"2005",72,2,1,0,0,0,0,0,0,1
"2006",52,1,0,0,0,0,1,0,0,0
"2007",70,3,1,0,1,0,1,0,0,0
"2008",61,4,0,0,0,0,0,0,2,2
"2009",47,5,3,0,0,1,0,0,0,1
"2010",53,4,1,2,0,0,0,0,0,1
"2011",34,4,2,0,0,0,1,0,0,1
"2012",50,7,2,1,1,1,1,0,0,1
"2013",22,4,2,1,0,1,0,0,0,0
"2014",30,2,0,0,1,0,0,1,1,0
"2015",29,4,1,1,2,0,0,0,0,0
"2016",28,3,0,0,0,0,1,1,0,1
"2017",26,4,0,1,2,0,1,0,0,0
"2018",23,5,2,1,0,0,1,0,0,1
"2019",17,3,2,0,0,0,0,0,1,0
"2021",31,0,0,0,0,0,0,0,0,0
"2022",24,1,0,0,0,0,0,0,0,1
"2023",24,0,0,0,0,0,0,0,0,0
"2024",23,0,0,0,0,0,0,0,0,0
