"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",0,0,0,0,0,0
"2004",1693,439,0,0,0,0
"2005",2749,418,0,0,0,12
"2006",1473,215,0,0,0,7
"2007",1213,234,0,0,0,16
"2008",1082,208,0,0,0,14
"2009",1003,227,0,0,0,1
"2010",1306,266,0,0,0,19
"2011",760,207,0,0,0,18
"2012",1019,296,0,0,0,0
"2013",604,303,0,0,0,6
"2014",726,324,0,0,0,22
"2015",870,414,0,0,0,9
"2016",819,408,0,0,0,5
"2017",601,321,0,0,0,0
"2018",904,464,0,0,0,0
"2019",427,220,0,0,14,4
"2021",978,530,0,0,0,6
"2022",856,472,0,0,0,0
"2023",707,367,0,0,0,0
"2024",741,404,0,0,0,0
