"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",61,0,0,0,0,0
"2004",97,0,0,0,0,0
"2005",46,45,0,0,0,6
"2006",23,23,0,0,0,2
"2007",39,39,0,0,0,5
"2008",19,19,0,0,0,2
"2009",27,27,0,0,0,0
"2010",46,46,0,0,0,14
"2011",105,103,0,0,0,21
"2012",28,27,0,0,0,0
"2013",26,26,0,0,0,7
"2014",42,39,8,0,0,8
"2015",38,37,0,0,0,0
"2016",80,72,0,0,0,0
"2017",49,45,0,0,0,20
"2018",72,68,0,0,0,9
"2019",6,6,0,0,0,0
"2021",32,32,0,0,0,3
"2022",46,34,0,0,0,0
"2023",40,40,0,0,0,10
"2024",34,34,0,0,0,0
