"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",2677,0,0,0,0,0
"2004",2648,0,0,0,0,0
"2005",3326,0,0,0,0,0
"2006",0,0,0,0,0,0
"2007",866,0,0,0,0,0
"2008",3383,0,0,0,0,0
"2009",3116,0,0,0,0,0
"2010",3462,0,0,0,0,0
"2011",2998,429,0,0,0,0
"2012",3658,370,0,0,0,0
"2013",2493,0,0,0,0,0
"2014",3722,0,0,0,0,0
"2015",4068,0,0,0,0,0
"2016",4004,420,0,0,0,0
"2017",3691,443,0,0,0,0
"2018",3611,422,0,0,0,0
"2019",1655,220,0,0,0,0
"2021",3242,403,0,0,0,0
"2022",3108,1,0,0,0,0
"2023",3276,0,0,0,0,0
"2024",2658,374,0,0,0,0
