"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",371,203,6,2,3,5,8,5,10,166
"2004",344,161,6,1,2,5,7,6,13,125
"2005",435,240,12,3,10,6,7,17,32,166
"2006",412,241,7,4,9,5,14,18,23,172
"2007",444,253,8,6,8,13,8,16,23,181
"2008",422,263,26,7,11,5,12,14,18,180
"2009",440,244,7,7,6,13,13,12,20,174
"2010",451,265,17,4,13,10,12,18,22,177
"2011",444,255,12,5,13,14,14,21,23,166
"2012",452,249,14,8,4,7,14,12,23,174
"2013",308,163,12,3,2,4,4,10,18,115
"2014",443,242,16,7,9,9,15,12,20,159
"2015",429,243,16,8,7,8,9,20,26,164
"2016",447,245,12,5,11,11,13,15,18,169
"2017",471,237,9,7,7,6,7,7,19,180
"2018",455,249,12,3,8,12,7,5,21,183
"2019",237,112,5,4,4,5,6,6,9,78
"2021",458,226,11,2,10,7,12,7,12,171
"2022",436,199,8,7,4,5,13,9,14,144
"2023",451,211,9,4,7,5,5,15,17,160
"2024",443,216,8,3,4,7,7,13,23,160
