"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",368,206,84,34,45,20,13,1,3,6
"2004",275,230,83,31,50,43,12,6,6,2
"2005",381,294,90,60,65,45,21,8,6,3
"2006",401,252,107,33,51,32,14,8,5,4
"2007",435,262,108,46,53,39,8,5,6,0
"2008",425,260,106,57,55,23,10,7,5,1
"2009",405,279,128,49,45,29,16,9,5,2
"2010",390,326,103,52,66,51,30,10,11,5
"2011",376,323,88,56,54,46,42,26,18,8
"2012",403,298,81,41,47,45,39,22,26,12
"2013",252,219,46,24,34,46,24,23,23,12
"2014",353,332,75,45,76,40,39,28,32,18
"2015",360,312,80,44,67,52,26,20,21,13
"2016",383,309,75,31,70,51,37,23,22,16
"2017",392,316,83,38,45,64,43,19,19,19
"2018",412,292,84,34,58,54,27,17,14,12
"2019",194,155,55,22,26,16,15,9,8,9
"2021",392,292,80,43,49,48,21,23,22,18
"2022",360,275,79,37,49,49,34,14,8,10
"2023",381,281,72,46,61,36,25,16,17,17
"2024",370,289,85,57,63,34,21,11,10,12
