"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",2915,1656,0,0,0,0
"2004",3540,2004,0,0,0,0
"2005",4776,1935,0,0,0,0
"2006",3842,994,0,212,211,0
"2007",3463,997,0,0,0,0
"2008",3069,1037,0,0,0,0
"2009",3440,1065,0,0,0,0
"2010",6057,1399,0,0,0,0
"2011",6187,1367,0,0,0,0
"2012",5407,1302,0,0,0,0
"2013",3446,845,0,0,0,0
"2014",4822,1238,0,165,161,0
"2015",4236,1157,131,135,135,0
"2016",4385,916,158,0,1,0
"2017",4265,892,146,142,142,0
"2018",3784,817,0,143,143,152
"2019",1797,624,0,0,0,0
"2021",3769,1243,67,181,180,6
"2022",3457,775,80,140,139,0
"2023",3679,787,0,105,105,0
"2024",3353,775,0,100,100,0
