"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",1,0,0,0,0,0
"2004",0,0,0,0,0,0
"2005",0,0,0,0,0,0
"2006",22,22,0,0,0,15
"2007",21,21,0,0,0,6
"2008",0,0,0,0,0,0
"2009",4,4,0,0,0,4
"2010",2,2,0,0,0,2
"2011",0,0,0,0,0,0
"2012",3,3,0,0,0,3
"2013",2,0,0,0,0,2
"2014",1,1,0,0,0,1
"2015",4,4,0,0,0,4
"2016",0,0,0,0,0,0
"2017",5,5,0,0,0,5
"2018",4,4,0,0,0,4
"2019",0,0,0,0,0,0
"2021",2,2,0,0,0,2
"2022",0,0,0,0,0,0
"2023",20,19,0,0,0,9
"2024",4,4,0,0,0,4
