"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",572,2,2,0,0,0,0,0,0,0
"2004",505,0,0,0,0,0,0,0,0,0
"2005",673,2,2,0,0,0,0,0,0,0
"2006",651,2,2,0,0,0,0,0,0,0
"2007",695,2,1,0,1,0,0,0,0,0
"2008",682,3,2,0,0,1,0,0,0,0
"2009",682,2,2,0,0,0,0,0,0,0
"2010",714,2,2,0,0,0,0,0,0,0
"2011",695,4,4,0,0,0,0,0,0,0
"2012",697,4,3,0,0,0,1,0,0,0
"2013",469,2,2,0,0,0,0,0,0,0
"2014",676,9,8,1,0,0,0,0,0,0
"2015",666,6,6,0,0,0,0,0,0,0
"2016",688,4,4,0,0,0,0,0,0,0
"2017",701,7,6,1,0,0,0,0,0,0
"2018",696,8,7,1,0,0,0,0,0,0
"2019",346,3,2,1,0,0,0,0,0,0
"2021",678,6,6,0,0,0,0,0,0,0
"2022",631,4,3,1,0,0,0,0,0,0
"2023",659,3,3,0,0,0,0,0,0,0
"2024",653,6,5,0,1,0,0,0,0,0
