"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",68,1,0,0,0,0,1,0,0,0
"2004",61,1,1,0,0,0,0,0,0,0
"2005",73,1,1,0,0,0,0,0,0,0
"2006",53,0,0,0,0,0,0,0,0,0
"2007",72,1,1,0,0,0,0,0,0,0
"2008",61,4,4,0,0,0,0,0,0,0
"2009",50,2,2,0,0,0,0,0,0,0
"2010",56,1,1,0,0,0,0,0,0,0
"2011",37,1,1,0,0,0,0,0,0,0
"2012",53,4,3,1,0,0,0,0,0,0
"2013",24,2,2,0,0,0,0,0,0,0
"2014",31,1,1,0,0,0,0,0,0,0
"2015",32,1,1,0,0,0,0,0,0,0
"2016",30,1,0,1,0,0,0,0,0,0
"2017",29,1,1,0,0,0,0,0,0,0
"2018",27,1,1,0,0,0,0,0,0,0
"2019",18,2,2,0,0,0,0,0,0,0
"2021",31,0,0,0,0,0,0,0,0,0
"2022",22,3,3,0,0,0,0,0,0,0
"2023",23,1,1,0,0,0,0,0,0,0
"2024",22,1,0,1,0,0,0,0,0,0
