"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",272,179,0,0,0,0
"2004",158,144,0,0,0,0
"2005",171,171,0,0,0,19
"2006",152,145,0,0,0,19
"2007",178,178,0,0,0,16
"2008",146,146,0,0,0,29
"2009",142,142,0,0,0,58
"2010",167,167,0,0,0,63
"2011",211,203,0,0,0,13
"2012",149,149,0,0,0,14
"2013",189,189,0,0,0,33
"2014",223,203,0,0,0,50
"2015",189,189,0,0,0,27
"2016",114,114,0,0,0,21
"2017",270,268,0,0,0,24
"2018",273,236,0,0,0,6
"2019",116,109,0,0,14,9
"2021",226,226,66,0,0,10
"2022",179,179,67,0,0,23
"2023",309,301,6,0,89,14
"2024",209,209,0,0,0,8
