"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",509,65,22,7,9,9,7,3,1,7
"2004",464,41,15,3,5,6,3,5,1,4
"2005",628,47,20,5,6,4,2,4,5,4
"2006",595,58,25,5,6,5,3,6,8,4
"2007",644,53,18,8,4,6,3,6,4,6
"2008",641,44,19,5,6,2,4,3,3,4
"2009",626,58,22,7,9,5,4,4,5,5
"2010",661,55,20,9,5,7,3,3,1,8
"2011",636,63,25,7,9,2,6,5,7,6
"2012",657,44,21,6,6,1,1,1,1,7
"2013",431,40,17,5,4,3,1,1,1,9
"2014",630,55,21,6,10,4,5,4,4,4
"2015",633,39,17,4,5,2,4,2,2,4
"2016",627,65,26,11,9,3,7,2,5,4
"2017",661,47,18,6,2,4,3,4,5,8
"2018",656,48,21,3,6,5,4,3,3,4
"2019",331,18,9,2,1,2,1,0,0,3
"2021",630,54,24,4,7,7,6,4,4,1
"2022",594,41,17,7,3,3,2,2,3,5
"2023",620,42,15,3,8,6,3,3,1,4
"2024",610,49,19,7,2,7,3,4,3,6
