"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",0,0,0,0,0,0
"2004",3,3,0,0,0,0
"2005",14,14,0,0,0,7
"2006",0,0,0,0,0,0
"2007",41,16,0,0,0,2
"2008",222,70,0,0,0,18
"2009",2,2,0,0,0,1
"2010",5,5,0,0,0,4
"2011",1,1,0,0,0,1
"2012",0,0,0,0,0,0
"2013",3,0,0,0,0,0
"2014",1,1,0,0,0,1
"2015",0,0,0,0,0,0
"2016",9,9,0,0,0,9
"2017",14,14,9,0,0,4
"2018",4,4,0,0,0,4
"2019",24,24,0,0,3,11
"2021",2,2,0,0,0,0
"2022",12,12,0,0,0,4
"2023",21,21,0,0,0,4
"2024",0,0,0,0,0,0
