"year","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"2003",87,0,0,0,0,0
"2004",87,0,0,0,0,0
"2005",31,0,0,0,0,0
"2006",13,0,0,0,0,0
"2007",39,0,0,0,0,0
"2008",62,62,0,0,0,0
"2009",48,38,0,0,0,0
"2010",93,93,0,0,0,0
"2011",124,122,0,0,0,0
"2012",37,34,0,0,0,0
"2013",47,43,0,0,0,0
"2014",50,50,0,0,0,0
"2015",74,0,0,0,0,0
"2016",26,0,0,0,0,0
"2017",83,0,0,0,0,0
"2018",36,0,0,0,0,0
"2019",42,42,0,0,0,0
"2021",134,108,0,0,0,0
"2022",54,0,0,0,0,0
"2023",106,0,0,0,0,0
"2024",67,67,0,0,0,0
