"trawl_id","count_of_length_cm","count_of_otosag_id","count_of_ovary_id","count_of_stomach_id","count_of_tissue_id","count_of_left_pectoral_fin_id"
"200303003005",1,1,0,0,0,0
"200303003021",2,2,0,0,0,0
"200303003082",37,25,0,0,0,0
"200303003090",1,1,0,0,0,0
"200303003100",68,24,0,0,0,0
"200303003103",1,1,0,0,0,0
"200303003108",63,25,0,0,0,0
"200303003109",13,13,0,0,0,0
"200303003129",22,0,0,0,0,0
"200303003132",64,15,0,0,0,0
"200303003141",175,25,0,0,0,0
"200303006101",6,6,0,0,0,0
"200303006103",7,7,0,0,0,0
"200303006107",2,2,0,0,0,0
"200303006108",1,1,0,0,0,0
"200303006114",99,15,0,0,0,0
"200303006119",58,16,0,0,0,0
"200303006121",43,15,0,0,0,0
"200303006126",2,2,0,0,0,0
"200303006134",1,1,0,0,0,0
"200303006138",13,13,0,0,0,0
"200303006143",187,28,0,0,0,0
"200303006149",1,1,0,0,0,0
"200303006152",99,30,0,0,0,0
"200303006156",184,30,0,0,0,0
"200303006159",23,23,0,0,0,0
"200303008045",5,5,0,0,0,0
"200303008102",14,13,0,0,0,0
"200303008105",2,2,0,0,0,0
"200303008111",3,3,0,0,0,0
"200303008113",20,14,0,0,0,0
"200303008117",10,10,0,0,0,0
"200303008118",1,1,0,0,0,0
"200303008120",63,15,0,0,0,0
"200303008125",12,12,0,0,0,0
"200303008136",95,0,0,0,0,0
"200303008138",1,1,0,0,0,0
"200303008145",22,15,0,0,0,0
"200303008148",7,7,0,0,0,0
"200303008163",9,9,0,0,0,0
"200303008165",18,15,0,0,0,0
"200303008174",3,3,0,0,0,0
"200303010104",10,10,0,0,0,0
"200303010109",44,15,0,0,0,0
"200303010110",101,16,0,0,0,0
"200303010113",42,29,0,0,0,0
"200303010114",25,25,0,0,0,0
"200303010116",40,30,0,0,0,0
"200303010118",193,30,0,0,0,0
"200303010121",189,30,0,0,0,0
"200303010136",192,30,0,0,0,0
"200303010141",22,0,0,0,0,0
"200303010152",4,4,0,0,0,0
"200403008071",1,1,0,0,0,0
"200403008082",1,1,0,0,0,0
"200403008095",9,9,0,0,0,0
"200403008097",102,15,0,0,0,0
"200403008105",139,15,0,0,0,0
"200403008107",3,3,0,0,0,0
"200403008122",77,15,0,0,0,0
"200403008123",122,15,0,0,0,0
"200403008131",116,15,0,0,0,0
"200403008137",139,15,0,0,0,0
"200403008140",78,15,0,0,0,0
"200403008141",64,15,0,0,0,0
"200403008142",185,15,0,0,0,0
"200403008146",1,1,0,0,0,0
"200403008147",9,9,0,0,0,0
"200403008148",113,15,0,0,0,0
"200403008164",139,15,0,0,0,0
"200403008170",1,1,0,0,0,0
"200403008180",152,15,0,0,0,0
"200403008183",2,2,0,0,0,0
"200403008195",99,14,0,0,0,0
"200403008196",112,15,0,0,0,0
"200403008201",1,1,0,0,0,0
"200403010113",98,15,0,0,0,0
"200403010115",11,11,0,0,0,0
"200403010118",100,15,0,0,0,0
"200403010119",20,15,0,0,0,0
"200403010121",29,0,0,0,0,0
